task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
33	16.05380962168246	16	1474.2965851902075	13.946190378317537	16.010460653649304	15.336986323670397	16.19322320555815	16	1826.0599890995281	13.806776794441848	19.830515718727913	20.353038907790545	9.13606127411077	16	1653.1236780471606	20.86393872588923	17.952474331733878	14.824539835333251	12.958094304626215	16	1845.7831984517422	17.041905695373785	20.044704417575478	22.79300046710917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
34	14.69963076927692	17	1515.7350851900824	15.30036923072308	15.990172327279984	13.860225161076997	16.142510271804923	17	1863.590690446723	13.857489728195077	19.659857833284118	20.39154576525707	14.8628535498048	17	1694.1201163497726	15.1371464501952	17.872036392261347	14.510020081472415	7.91620227311077	17	1905.5934839620672	22.08379772688923	20.10296422641301	22.93319139430113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
35	16.34022028173637	17	1552.7303219270464	13.659779718263628	15.92543919925175	14.06696396028428	16.25690465087409	17	1900.811573683939	13.743095349125909	19.49550331983528	20.39218895021033	16.258564701926396	17	1731.3365036153887	13.741435298073602	17.75729747297835	14.595913675334325	5.048220856356188	17	2000.5157487813653	35.04822085635619	20.518110243911437	24.873729265197674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
36	14.431087012903381	18	1594.8961279337664	15.568912987096619	15.91580335567999	14.458474527949438	12.926380314158397	18	1947.0526269997602	17.073619685841603	19.430047005403015	18.99495606490649	10.461000775847626	18	1784.2546265141348	19.538999224152374	17.805451574361435	15.267017016523202	0.7957541926685501	18	2083.9209163865094	30.79575419266855	20.795884404688657	24.864181416803483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
37	13.569513422471633	18	1639.3953624145724	16.430486577528367	15.929347650991788	14.395656847244084	12.16925582662153	18	2061.26102819686	42.16925582662153	20.028447237540348	20.6451583450015	15.944510837523692	18	1822.3215763291748	14.055489162476308	17.706768352996036	15.091860631278717	14.669026439943138	18	2125.4423031116635	15.330973560056862	20.652070961408874	24.556199507601967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
38	5.619054848483451	19	1735.8636359625484	35.61905484848345	16.43421193810696	16.25790348111932	12.66282771797502	19	2176.8061865997092	42.66282771797502	20.608815967807903	21.81470459950453	0.4587144332787787	19	1904.813927919305	30.45871443327878	18.033741329413544	16.75632767985467	4.2246287958003705	19	2218.1340061002893	34.22462879580037	21.00008526485481	24.871664684028183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
39	7.5696683252935415	19	1837.6148210102185	37.56966832529354	16.96259834778662	18.856316649085	11.583474564671626	19	2289.428096879028	41.583474564671626	21.133182432729495	22.888894215148063	0.42972305658830834	19	1987.2277611975649	30.42972305658831	18.34364087259291	18.475713660015288	16.58672536262251	19	2344.306387290725	46.58672536262251	21.639751267299	25.913556747187975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
40	10.477495698930465	8	1890.4882701589486	19.522504301069535	17.025035078354495	19.511422185860827	4.6073801621538415	18	2358.199775606528	25.39261983784616	21.237071149927463	23.870314376313598	1.8746935647064618	19	2073.555056268645	31.87469356470646	18.673666548010317	20.351971980764382	16.340496371753353	17	2381.300876283893	13.659503628246647	21.445111080980652	25.34514765895728	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
41	9.003514150980926	8	1947.3537526667085	20.996485849019074	17.119593430036986	20.264287037702253	12.371831578958773	18	2405.942731746848	17.628168421041227	21.15114489447779	24.180965001785502	7.864916735890702	19	2176.105872428349	37.8649167358907	19.130601076293182	22.774130509748897	13.233795443239384	17	2426.709346958453	16.766204556760616	21.3337085446897	25.123400389938347	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
42	15.72850065497354	8	1986.0057300594885	14.27149934502646	17.053358683873952	20.28849515608213	15.19245686113477	18	2446.046494414608	14.80754313886523	21.00361927225424	24.272487106462528	6.494833008018453	19	2274.946045158399	36.49483300801845	19.534420423542606	25.04598896592694	16.30557320245071	17	2463.7984195351487	13.69442679754929	21.156050829639923	24.523214117232406	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
