interaction	name	drain	joules
80	drain-4	81.0	84.65757400548
81	drain-1	82.0	32516.0
81	drain-2	83.0	32524.0
81	drain-3	80.0	86.885556080472
81	drain-4	81.0	88.252384544385
82	drain-1	82.0	32515.0
82	drain-2	83.0	32520.0
82	drain-3	80.0	86.79326914397198
82	drain-4	79.0	88.694604382272
83	drain-1	81.0	32515.0
83	drain-2	82.0	32518.0
83	drain-3	80.0	103.299041286835
83	drain-4	79.0	85.37172810952801
84	drain-1	81.0	32513.0
84	drain-2	82.0	32518.0
84	drain-3	80.0	88.5253148406
84	drain-4	79.0	84.740468442056
85	drain-1	81.0	32518.0
85	drain-2	82.0	32513.0
85	drain-3	80.0	88.772443304736
85	drain-4	79.0	83.17915701312
86	drain-1	81.0	32516.0
86	drain-2	82.0	32523.0
86	drain-3	80.0	95.95233360449998
86	drain-4	79.0	89.396687333016
87	drain-1	81.0	32517.0
87	drain-2	82.0	32526.0
87	drain-3	78.0	105.490801929371
87	drain-4	79.0	84.34583417226399
88	drain-1	81.0	32519.0
88	drain-2	82.0	32517.0
88	drain-3	78.0	85.12390954176199
88	drain-4	78.0	81.07503572857
89	drain-1	81.0	32517.0
89	drain-2	82.0	32516.0
89	drain-3	78.0	89.58682161968402
89	drain-4	78.0	85.28911435616001
90	drain-1	79.0	32517.0
90	drain-2	80.0	32516.0
90	drain-3	78.0	98.06772074916101
90	drain-4	78.0	94.61696639109002
91	drain-1	79.0	32515.0
91	drain-2	80.0	32514.0
91	drain-3	78.0	94.09162940144901
91	drain-4	78.0	93.3906700571
92	drain-1	79.0	32515.0
92	drain-2	80.0	32515.0
92	drain-3	77.0	89.12488703724001
92	drain-4	77.0	88.06188612864999
93	drain-1	79.0	32516.0
93	drain-2	80.0	32514.0
93	drain-3	77.0	87.67347794141199
93	drain-4	77.0	94.35336957765
94	drain-1	79.0	32515.0
94	drain-2	80.0	32520.0
94	drain-3	77.0	88.230017098172
94	drain-4	76.0	84.797984601792
95	drain-1	79.0	32514.0
95	drain-2	80.0	32518.0
95	drain-3	77.0	90.073358268516
95	drain-4	76.0	103.22275126917602
96	drain-1	78.0	32520.0
96	drain-2	80.0	32517.0
96	drain-3	77.0	88.17936578396399
96	drain-4	76.0	87.35123638962
97	drain-1	78.0	32519.0
97	drain-2	79.0	32523.0
97	drain-3	77.0	86.070326636781
97	drain-4	76.0	84.78894420687598
98	drain-1	78.0	32518.0
98	drain-2	79.0	32519.0
98	drain-3	77.0	87.938337054447
98	drain-4	76.0	95.57891826865199
99	drain-1	78.0	32514.0
99	drain-2	79.0	32523.0
99	drain-3	75.0	101.168040591324
99	drain-4	76.0	89.74677108490799
100	drain-1	78.0	32521.0
100	drain-2	79.0	32513.0
100	drain-3	75.0	87.62103957096
100	drain-4	75.0	89.1090554463
101	drain-1	78.0	32520.0
101	drain-2	79.0	32515.0
101	drain-3	75.0	96.63623920015802
101	drain-4	75.0	85.98857051484002
102	drain-1	78.0	32520.0
102	drain-2	79.0	32519.0
102	drain-3	75.0	86.461135104498
102	drain-4	75.0	84.771488862
103	drain-1	76.0	32517.0
103	drain-2	79.0	32519.0
103	drain-3	75.0	90.797813667736
103	drain-4	75.0	84.51805432320002
