task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
35	6.454208455639879	4	2550.8898099979137	36.45420845563988	25.381988159183223	30.468104686556064	3.98279720539702	2	496.95759762238504	33.98279720539702	26.676746520901226	31.089578558313498	0	0	1	0	1	0	0	0	0	0	0	0
36	4.930078996207165	0	97.513137197745	34.930078996207165	25.640044668291978	31.49579835910531	0.5058111239641754	3	579.2955415679851	29.494188876035825	26.75289361158054	31.67308197229648	1	0	0	1	0	0	0	0	0	0	0	0
37	10.508950109652893	0	151.925651474964	19.491049890347107	25.478229016240796	30.68531177315889	0.7711297233528356	3	660.8928044236251	29.228870276647164	26.818050892240187	30.14398328073525	1	0	0	1	0	0	0	0	0	0	0	0
38	16.055439022925373	1	190.854217535964	13.944560977074627	25.182493938313456	28.630368372361072	1.5250106840482367	4	740.3854829306571	28.474989315951763	26.860536492848176	29.571622037809863	0	1	0	0	1	0	0	0	0	0	0	0
39	1.0441532592895513	1	277.519145384814	31.04415325928955	25.32903542133786	29.188274278778295	1.0048624145208294	4	821.3302420234531	28.99513758547917	26.91390152016395	28.604003483806924	0	1	0	0	1	0	0	0	0	0	0	0
40	1.8151489716537341	2	366.336436264014	31.815148971653734	25.48723331280898	28.140097535408312	4.146161821484419	3	916.6549437750971	34.14616182148442	27.090298112879083	28.156433997017054	0	0	1	1	0	0	0	0	0	0	0	0
41	0.7959075910925364	2	447.864527572214	29.204092408907464	25.575729957954177	27.58383533828708	0.6104667592191078	1	998.7007240722771	29.389533240780892	27.145041806400553	27.57336977476159	0	1	1	0	0	0	0	0	0	0	0	0
42	0.10216747902089551	3	531.329310026614	29.897832520979104	25.676243971047782	28.614048037824784	0.6473351534815528	2	1080.6435801021412	29.352664846518447	27.196381877100965	28.626427494811914	0	0	1	1	0	0	0	0	0	0	0	0
43	0.8907898208955132	3	612.592521776614	29.109210179104487	25.7542659303218	30.1428924150149	1.7149213416852511	0	1159.6060913566032	28.28507865831475	27.221124985764913	30.123901349251206	1	0	0	1	0	0	0	0	0	0	0	0
44	3.6256651851796917	4	706.464170418574	33.62566518517969	25.92918591376309	30.382052541840217	1.3368383360632734	4	1247.0880983781133	31.336838336063273	27.31258528243821	30.616222616898625	0	0	0	0	2	0	0	0	0	0	0	0
45	0.6917971272472805	4	792.1454373988059	30.69179712724728	26.032720940143182	30.50388743245798	15.646235294547585	0	1287.1590248475013	14.353764705452415	27.030871791634173	28.52464772085478	1	0	0	0	1	0	0	0	0	0	0	0
46	17.046426655556775	0	828.3074963187099	12.953573344443225	25.754441204064456	26.899595814408354	1.3733667903152238	3	1374.7430071371314	31.373366790315224	27.123265302244405	27.097979169361786	1	0	0	1	0	0	0	0	0	0	0	0
47	0.16670763448836468	3	911.5921041724299	29.833292365511635	25.83941726992794	27.09152515381504	2.5277134211892474	3	1465.5495404379515	32.52771342118925	27.23585797138909	27.40903001128212	0	0	0	2	0	0	0	0	0	0	0	0
