task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	r6_energy	r6_config	r6_reward	r7_energy	r7_config	r7_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
47	64.31326299765101	1	2163.1876856626404	39.82123892997001	0	2277.0250429318676	51.164232679875	0	2559.620467504716	31.615783466879996	0	2201.4169917572262	36.04280588369999	0	2605.8415876409376	54.131201272785006	0	2272.743229313654	43.697014522757996	3	2422.783036592114	65.57779512	0	2735.460580269248	6	1	0	1	0	0	0	0	0	0	0	0
48	64.08824152077	1	2227.27592718341	41.114877786135004	0	2318.1399207180025	53.16211691888999	0	2612.7825844236063	30.510916276319996	0	2231.9279080335464	35.97854582476	0	2641.820133465698	38.06446244055	0	2310.807691754204	35.470641484817996	3	2458.253678076932	35.5762465104	0	2771.036826779648	6	1	0	1	0	0	0	0	0	0	0	0
49	62.941429011654016	1	2290.2173561950644	36.60931400076	0	2354.7492347187626	50.979809631744004	0	2663.7623940553503	31.748382429794994	0	2263.6762904633415	50.67770498493999	0	2692.497838450638	39.532961216805	0	2350.3406529710087	45.7476098376	3	2504.001287914532	65.47681783626001	0	2836.513644615908	6	1	0	1	0	0	0	0	0	0	0	0
50	63.06614277832001	3	2353.2834989733847	43.60712723331	0	2398.356361952073	39.18247569684001	0	2702.9448697521902	45.137270383524	0	2308.8135608468656	40.006641974868	0	2732.5044804255062	38.48772990384	0	2388.8283828748486	34.797920439024004	3	2538.799208353556	37.0089495237	0	2873.522594139608	6	0	0	2	0	0	0	0	0	0	0	0
51	36.63888963076101	1	2389.9223886041455	36.391850199809994	0	2434.748212151883	83.557885789455	0	2786.5027555416455	42.90559488111501	0	2351.7191557279807	40.339909891008006	0	2772.8443903165144	34.28545588933501	0	2423.1138387641836	35.576456390999994	3	2574.375664744556	38.60554063445	0	2912.128134774058	6	1	0	1	0	0	0	0	0	0	0	0
52	30.692588464691998	1	2420.6149770688376	36.248390187270005	0	2470.996602339153	34.51332565065	6	2821.0160811922956	31.169381349315003	0	2382.8885370772955	40.195943639856	0	2813.0403339563704	38.251528181999994	0	2461.3653669461837	39.300200437848	3	2613.6758651824043	35.36056721248001	0	2947.4887019865378	5	1	0	1	0	0	1	0	0	0	0	0
53	30.63415124892001	1	2451.2491283177574	36.172397162655	0	2507.1689995018082	60.41865671251201	6	2881.4347379048077	37.758675128145995	0	2420.6472122054415	36.1037938755	0	2849.1441278318703	66.14632099425	0	2527.5116879404336	38.200478075232	3	2651.876343257636	51.668079243263996	0	2999.1567812298017	5	1	0	1	0	0	1	0	0	0	0	0
54	32.29428778562	1	2483.5434161033772	37.322611400235	0	2544.4916109020432	61.345893651042	6	2942.7806315558496	38.09232325180599	0	2458.7395354572477	42.38304044975999	0	2891.52716828163	38.913236203275005	0	2566.4249241437087	33.396343897056	3	2685.272687154692	35.486855423232	0	3034.643636653034	5	1	0	1	0	0	1	0	0	0	0	0
55	30.789588847192004	1	2514.3330049505694	50.99544027627	0	2595.4870511783133	33.470329663589	0	2976.2509612194385	61.354939603539	0	2520.094475060787	45.84298098747599	0	2937.370149269106	51.044355344976005	0	2617.4692794886846	36.021978316319995	3	2721.294665471012	38.073072093696	0	3072.7167087467296	6	1	0	1	0	0	0	0	0	0	0	0
56	31.666548894464004	1	2545.9995538450335	36.179024141117	0	2631.66607531943	33.745245416539994	0	3009.9962066359785	51.072110838585004	0	2571.166585899372	63.81859948506599	0	3001.188748754172	34.30166825687999	0	2651.7709477455646	35.007546430176	3	2756.302211901188	49.21803669609599	0	3121.9347454428257	6	1	0	1	0	0	0	0	0	0	0	0
57	31.09302093048001	1	2577.0925747755136	36.46623215843999	0	2668.13230747787	34.46896533437	0	3044.4651719703484	56.44646209347199	0	2627.613047992844	52.36336931235599	0	3053.5521180665282	33.281402125696	0	2685.0523498712605	35.509091534208	3	2791.811303435396	61.750987153824006	0	3183.68573259665	6	1	0	1	0	0	0	0	0	0	0	0
58	31.1245996092	1	2608.2171743847134	36.080112955284	0	2704.2124204331544	44.59823213055	0	3089.0634041008984	41.061868016081995	0	2668.6749160089257	53.132413582325995	0	3106.6845316488543	34.28690714183999	0	2719.3392570131005	36.558615857136	3	2828.369919292532	54.0641783864	0	3237.7499109830496	6	1	0	1	0	0	0	0	0	0	0	0
59	39.21878217912	1	2647.4359565638333	36.45168704618399	0	2740.6641074793383	33.513642027789	0	3122.5770461286875	52.776424117248	0	2721.451340126174	52.11652403939999	0	3158.801055688254	31.954148278079995	0	2751.2934052911805	52.805219395512005	3	2881.1751386880437	55.106303942512	0	3292.8562149255617	6	1	0	1	0	0	0	0	0	0	0	0
