tick	gps500_level	gps500_watts	gps5000_level	gps5000_watts
342	31	2.2968	52	1.2433
343	31	2.2381	52	1.3654
344	31	2.4591	52	1.3799
345	30	2.4687	52	1.2305
346	30	2.6544	52	1.1677
347	30	2.3778	52	2.7918
348	30	2.2706	52	1.209
349	30	2.5814	52	2.4423
350	30	2.366	52	1.1822
351	30	2.3739	52	1.3474
352	28	2.34	50	2.8545
353	28	2.5593	50	1.1815
354	28	2.5374	50	1.1494
355	28	2.3658	50	1.2302
356	28	2.6989	50	1.5218
357	28	2.2598	50	1.6066
358	27	2.6113	50	2.3916
359	27	2.3894	50	2.4041
360	27	2.4162	50	1.4349
361	27	2.6487	50	1.2058
362	27	2.6052	50	1.1886
363	27	2.3195	49	2.4732
364	27	2.2944	49	1.4003
365	27	2.2704	49	2.5368
366	25	2.5192	49	2.4416
367	25	2.79	49	1.1583
368	25	2.5942	49	1.5867
369	25	2.5942	49	2.3086
370	25	2.6983	49	1.179
371	25	2.7856	49	1.2552
372	25	2.3294	49	2.4766
373	24	2.3089	49	1.3321
374	24	2.3122	47	2.5041
375	24	2.3401	47	1.1608
376	24	2.3077	47	1.2203
377	24	2.4189	47	1.9626
378	22	2.7244	47	1.4743
379	22	2.7933	47	1.6249
380	22	2.2496	47	2.4429
381	22	2.2368	47	1.5691
382	22	2.3608	47	2.3916
383	22	2.6432	47	1.1612
384	22	2.5665	46	1.1631
385	22	2.4208	46	2.9429
386	22	2.353	46	2.4912
387	20	2.3558	46	1.2208
388	20	2.2834	46	2.456
389	20	2.2767	46	1.1873
390	20	2.4003	46	1.5768
391	20	2.6637	46	1.2346
392	20	2.6448	46	1.2491
393	20	2.2979	46	1.1735
394	19	2.2919	46	2.692
395	19	2.3631	44	1.2494
396	19	2.3392	44	2.4011
397	19	2.496	44	1.1758
398	18	2.5991	44	1.2621
399	18	2.634	44	1.3466
400	18	2.334	44	2.4014
401	17	2.2908	44	2.6484
402	17	2.3374	44	2.4571
403	17	2.3124	44	1.4351
404	17	2.2897	44	1.3972
405	17	2.7602	44	1.2765
406	17	2.8184	42	1.6567
407	17	2.8184	42	2.8156
408	17	2.9027	42	1.1842
409	16	2.2768	42	2.3771
410	16	2.2635	42	1.2152
411	16	2.3847	42	2.5734
412	16	2.3294	42	1.314
413	16	2.3394	42	2.4144
414	16	2.6736	42	1.2118
415	16	2.9819	42	1.2192
416	0	0	41	2.2541
417	0	0	41	2.4828
418	0	0	41	1.2216
419	0	0	41	2.4362
420	0	0	41	1.8209
421	0	0	41	1.1625
422	0	0	41	1.2027
423	0	0	41	2.3732
424	0	0	41	2.4276
425	0	0	41	1.1923
426	0	0	41	2.4231
427	0	0	39	2.5333
428	0	0	39	2.5333
429	0	0	39	2.6127
430	0	0	39	2.4052
431	0	0	39	1.1785
432	0	0	39	2.4313
433	0	0	39	1.2414
434	0	0	39	2.1161
435	0	0	39	2.4908
436	0	0	39	1.2324
437	0	0	38	1.1718
438	0	0	38	2.375
439	0	0	38	1.1906
440	0	0	38	1.2505
441	0	0	38	1.1803
442	0	0	38	1.3362
443	0	0	38	2.7576
444	0	0	38	1.2186
445	0	0	38	1.1757
446	0	0	38	2.6816
447	0	0	38	1.5745
448	0	0	36	2.867
449	0	0	36	1.1974
450	0	0	36	1.1986
451	0	0	36	2.049
452	0	0	36	1.194
453	0	0	36	1.173
454	0	0	36	2.417
455	0	0	36	1.4978
456	0	0	36	1.169
457	0	0	35	1.1748
458	0	0	35	1.1857
459	0	0	35	2.6435
460	0	0	35	2.5251
461	0	0	35	1.1854
462	0	0	35	2.4015
463	0	0	35	2.6629
464	0	0	35	1.555
465	0	0	35	2.4692
466	0	0	35	2.4077
467	0	0	35	1.2509
468	0	0	33	2.4044
469	0	0	33	1.1718
470	0	0	33	1.199
471	0	0	33	1.199
472	0	0	33	1.2405
473	0	0	33	1.1882
474	0	0	33	1.236
475	0	0	33	2.4066
476	0	0	33	1.3821
477	0	0	31	2.3641
478	0	0	31	1.1666
479	0	0	31	1.3357
480	0	0	31	1.4752
481	0	0	31	1.2364
482	0	0	31	1.241
483	0	0	31	2.4541
484	0	0	31	1.8064
485	0	0	31	2.457
486	0	0	31	1.174
487	0	0	30	1.2036
488	0	0	30	1.4368
489	0	0	30	2.0219
490	0	0	30	1.1673
491	0	0	30	2.4492
492	0	0	30	1.232
493	0	0	30	2.544
494	0	0	30	1.4278
495	0	0	30	1.2098
496	0	0	28	1.3204
497	0	0	28	2.5525
498	0	0	28	1.1771
499	0	0	28	1.2192
500	0	0	28	1.2549
501	0	0	28	1.2883
502	0	0	28	1.1988
503	0	0	28	1.2351
504	0	0	28	2.4135
505	0	0	27	1.7242
506	0	0	27	1.1747
507	0	0	27	2.3899
508	0	0	27	2.404
509	0	0	27	1.3967
510	0	0	27	2.3741
511	0	0	27	1.1887
512	0	0	27	2.466
513	0	0	27	2.7084
514	0	0	27	1.1718
515	0	0	25	1.175
516	0	0	25	1.2502
517	0	0	25	2.3687
518	0	0	25	2.5846
519	0	0	25	1.1747
520	0	0	25	2.4155
521	0	0	25	1.1668
522	0	0	25	2.3002
523	0	0	25	1.2227
524	0	0	24	1.2318
525	0	0	24	2.5307
526	0	0	24	1.4795
527	0	0	24	1.1641
528	0	0	24	1.6967
529	0	0	24	1.1816
530	0	0	24	2.2509
531	0	0	24	1.1889
532	0	0	24	2.4946
533	0	0	24	1.1686
534	0	0	24	1.3672
535	0	0	22	1.5463
536	0	0	22	1.1838
537	0	0	22	1.642
538	0	0	22	1.3149
539	0	0	22	2.5122
540	0	0	22	1.2147
541	0	0	22	1.1866
542	0	0	22	2.47
543	0	0	22	1.3059
544	0	0	22	2.4126
545	0	0	20	1.1635
546	0	0	20	3.5017
547	0	0	20	1.2376
548	0	0	20	2.4524
549	0	0	20	1.241
550	0	0	20	1.1881
551	0	0	20	2.5996
552	0	0	20	1.2059
553	0	0	20	2.4017
554	0	0	20	2.4368
555	0	0	20	1.9197
556	0	0	19	2.3416
557	0	0	19	1.182
558	0	0	19	1.2138
559	0	0	19	1.2197
560	0	0	19	2.5444
561	0	0	19	1.2136
562	0	0	19	1.181
563	0	0	19	2.3952
564	0	0	19	1.6989
565	0	0	19	2.4165
566	0	0	19	1.2276
567	0	0	17	1.22
568	0	0	17	1.9353
569	0	0	17	2.4047
570	0	0	17	2.9016
571	0	0	17	1.3152
572	0	0	17	1.7555
573	0	0	17	1.2306
574	0	0	17	1.1729
575	0	0	17	2.4445
576	0	0	17	1.4625
577	0	0	17	2.4411
578	0	0	16	2.5387
579	0	0	16	1.6797
580	0	0	16	1.688
581	0	0	16	2.3437
582	0	0	16	1.2224
583	0	0	16	1.1727
584	0	0	16	1.5665
585	0	0	16	2.3763
586	0	0	16	2.3934
587	0	0	16	1.218
