task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
69	1.922064396713349	19	3830.7609367488494	31.92206439671335	20.206211534499424	22.266515866183642	3.089064503784357	19	4420.404617311589	33.08906450378436	23.316419959445753	27.827950209738095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
70	0.9632862767261585	19	3909.402036416049	29.03671372327384	20.330584804763852	23.993541892676124	0.009774265067825638	19	4501.628145343698	29.990225734932174	23.410417223889223	27.749145097272844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
71	0.6189930452676933	19	3988.9755969184494	29.381006954732307	20.456285112402306	25.600516843973907	5.101632009732924	19	4596.695065370058	35.101632009732924	23.57279520702594	27.991963913519736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
72	1.6032449166099703	19	4074.5677185676013	31.60324491660997	20.608983191912	25.856318617437637	7.783900484287393	19	4699.026462515003	37.78390048428739	23.76746788205692	28.54451278340614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
73	3.673381187150767	19	4165.766459282801	33.67338118715077	20.785529110766575	27.15063074478912	4.512054684234464	19	4792.496610618138	34.512054684234464	23.912665001005266	30.830996355275737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
74	12.885178936615368	19	4281.913818902802	42.88517893661537	21.08019110844456	30.058446515825057	5.008950645430886	19	4887.312518616181	35.008950645430886	24.06061547626427	30.751301333494524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
75	11.507521826999998	19	4394.330023850926	41.507521827	21.348971775793974	32.67877388802679	1.8918573480251055	19	4973.686298933749	31.891857348025106	24.16365813247165	32.53829527484596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
76	3.5726956152923037	19	4485.2560744756765	33.572695615292304	21.5077214360472	33.123560550037624	0.857937097488005	19	5052.612719294719	29.142062902511995	24.22831273987477	32.518743147673476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
77	4.533723229615383	19	4578.784908222551	34.53372322961538	21.67472145904166	33.6618016284751	0.8337496872036851	19	5136.120791364228	30.833749687203685	24.31299782894309	32.61628599745912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
78	1.1363792123076948	19	4656.957214522551	28.863620787692305	21.765720184720784	33.69791515746956	1.6753156821998694	19	5221.908104670187	31.67531568219987	24.40619172581976	32.90288136823429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
79	0.8219905933846228	19	4740.433439046301	30.821990593384623	21.878923564829083	33.587907777136685	16.49671583997637	7	5258.479499270251	13.503284160023629	24.269905381247305	30.944303333858215	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
80	0.9539469894276991	19	4819.099832616601	29.0460530105723	21.967406644406157	33.58884170586653	0.18123250781538758	19	5340.220337312251	30.181232507815388	24.342884728488887	30.96340401114653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
81	0.8484327747544604	19	4902.647671381561	30.84843277475446	22.075711841117723	33.73558428786875	2.035493777460914	19	5426.983132959541	32.035493777460914	24.43669703396416	30.65679018791934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
82	18.33345423188677	13	4934.244566170201	11.66654576811323	21.950300201683934	31.741914373019075	0.513833235160611	18	5509.624764638101	30.51383323516061	24.509915542412305	29.929783463006665	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
83	0.34279638193182294	19	5016.422973037933	30.342796381931823	22.050210870496407	31.40885589249718	2.8412159743015337	19	5598.5697245685005	32.841215974301534	24.609097690410987	29.762699592013366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
84	1.4601860876086228	19	5093.7183023839925	28.539813912391377	22.126559141577527	29.974319390074776	0.21557575262399808	19	5680.40357556519	30.215575752623998	24.675056255848787	29.283362102732674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
85	0.7119562396593295	19	5176.896517199737	30.71195623965933	22.22638934039243	28.894762831340717	0.37565978034462333	19	5760.6361636600905	29.624340219655377	24.732606069381422	29.056610389895695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
