task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
65	1.159034752197254	1	294.45417664054	18.840965247802746	20.23372964359508	18.916493084758212	1.341675252575044	2	268.776881470209	18.658324747424956	21.591469656642115	19.282573501697662	6.564837248825313	1	150.81182445372	13.435162751174687	21.85779681022345	16.858135577271728	6.970455831898507	0	1907.4833016293458	13.029544168101493	21.945915298128973	16.608469045328558	1	2	1	0	0	0	0	0	0	0	0	0
66	9.466634327250155	2	376.71519747078	29.466634327250155	20.37153419111232	18.048521223781	10.5816380632	3	354.150621063309	30.5816380632	21.72565127465044	19.817353621694615	2.5619600441198855	2	199.493019330552	17.438039955880114	21.791830290009372	19.64372343731348	6.991051978640002	0	36.316646559629994	13.008948021359998	21.812527726833917	19.51849720265989	1	0	2	1	0	0	0	0	0	0	0	0
67	1.5447263122951647	2	428.236169848956	18.455273687704835	20.343353889591622	20.078017486956107	6.338983330723822	3	392.287625931705	13.661016669276178	21.607053706924347	18.657554763917517	3.1447089289552252	2	246.547373570552	16.855291071044775	21.7192341250246	18.45898734624172	9.303941321074625	0	118.12348274762999	29.303941321074625	21.922695573808046	19.523549003606686	1	0	2	1	0	0	0	0	0	0	0	0
68	3.9946774744511053	3	472.91769523278003	16.005322525548895	20.280483869822888	19.780564981044108	4.380996029889076	4	435.890678681598	15.619003970110924	21.520270377405314	20.03951096124505	10.701670549962504	3	332.256203855864	30.701670549962504	21.84941436306718	20.163014583516286	7.180312829008956	1	153.91177609998	12.819687170991044	21.790767915796206	18.386819494295388	0	1	0	2	1	0	0	0	0	0	0	0
69	2.37940322990746	3	535.3935292496051	22.37940322990746	20.31046843210981	18.880955821698127	12.273225847570622	4	525.986767506066	32.27322584757062	21.673884026979103	20.807383604319188	15.603173777970156	3	431.648397319364	35.603173777970156	22.045896640422935	22.522173613345718	9.708921105913316	1	236.849180853988	29.708921105913316	21.903884389940735	24.126964057009427	0	1	0	2	1	0	0	0	0	0	0	0
70	11.163117102147822	4	622.3905644931011	31.163117102147822	20.463322638730066	25.557746660119737	5.689739852643349	3	565.93624375077	14.31026014735665	21.570171014590056	24.058378542747935	21.375520952468655	4	547.155059978339	41.375520952468655	22.31814487017006	26.59539838543991	7.035817506330746	2	273.040856982148	12.964182493669254	21.777973095627054	26.32991623779575	0	0	1	1	2	0	0	0	0	0	0	0
71	9.401838196869729	4	704.4706961260291	29.40183819686973	20.58746868814867	26.19993300248647	5.870888136287043	2	605.380014370302	14.129111863712957	21.466822970827874	26.330875471758663	15.541111672752244	4	646.373996731439	35.541111672752244	22.50179718687259	27.647046316043145	2.224990821488717	2	322.662757605492	17.775009178511283	21.722376374556	26.197224649137205	0	0	2	0	2	0	0	0	0	0	0	0
72	6.344006180845138	0	778.0143800475552	26.34400618084514	20.666325366130813	25.271307889424705	5.844306456600844	3	644.897992178958	14.155693543399156	21.366670512917892	23.715985133173287	19.2696915861015	2	756.0018857426389	39.2696915861015	22.731494370423672	24.526642581568655	6.861308509275702	3	359.341604683764	13.138691490724298	21.60479165011995	24.40948571590542	1	0	1	2	0	0	0	0	0	0	0	0
73	3.2384009162603036	2	842.8882492721152	23.238400916260304	20.70108314383527	22.595773712284583	4.608534498197489	1	687.86583337149	15.39146550180251	21.28592449925417	22.838502013097912	16.556239737573726	4	858.0547216766989	36.556239737573726	22.918315253763538	23.55394216716831	3.6912984030156437	3	425.479812725516	23.691298403015644	21.632987687321243	24.510160821098577	0	1	1	1	1	0	0	0	0	0	0	0
74	4.985213026720954	0	884.8045295725192	15.014786973279046	20.625265861561186	22.45752835115126	5.793103584011941	0	727.5267525327899	14.206896415988059	21.191537458143955	22.10071707489894	4.450784581408959	0	901.4629480535989	15.549215418591041	22.82006058929457	21.021237998673534	11.346783486852768	4	512.98958329298	31.346783486852768	21.76250496464833	22.740346993018893	3	0	0	0	1	0	0	0	0	0	0	0
