task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
32	31.767345512678688	11	3198.9091632566724	31.767345512678688	34.723573006856704	34.17027609007265	0	0	0	0	0	0	0	0	0	0	0	1
33	29.686418876557603	11	3281.783749287062	29.686418876557603	34.57542141478908	33.47517232839267	0	0	0	0	0	0	0	0	0	0	0	1
34	30.365614154450142	11	3366.5544221349023	30.365614154450142	34.45514120735083	33.05031434322348	0	0	0	0	0	0	0	0	0	0	0	1
35	29.17994948531893	11	3448.015114448084	29.17994948531893	34.308608103961056	32.68131241594259	0	0	0	0	0	0	0	0	0	0	0	1
36	31.280850435062682	11	3535.340821912634	31.280850435062682	34.226776815612446	32.09996641825196	0	0	0	0	0	0	0	0	0	0	0	1
37	29.576984505985077	11	3617.909903658509	29.576984505985077	34.10441386009594	31.30636885317524	0	0	0	0	0	0	0	0	0	0	0	1
38	33.5405431150997	11	3711.543919854829	33.5405431150997	34.089955635865266	31.025557423867305	0	0	0	0	0	0	0	0	0	0	0	1
39	32.357184287605975	11	3801.874392657729	32.357184287605975	34.046636352158785	31.054901148560567	0	0	0	0	0	0	0	0	0	0	0	1
40	36.29054541402269	11	3903.185498605209	36.29054541402269	34.10136584147254	31.629297862300113	0	0	0	0	0	0	0	0	0	0	0	1
41	37.35147177612286	11	4007.458357313552	37.35147177612286	34.17874931610707	32.139690756290435	0	0	0	0	0	0	0	0	0	0	0	1
42	29.646319522513433	11	4090.2209993139018	29.646319522513433	34.07334397207001	31.92758815727391	0	0	0	0	0	0	0	0	0	0	0	1
43	29.859030601975878	11	4173.577459744418	29.859030601975878	33.9775641227497	31.94484932981573	0	0	0	0	0	0	0	0	0	0	0	1
44	28.626466137522986	11	4253.493011045003	28.626466137522986	33.858650834189106	31.770934528123018	0	0	0	0	0	0	0	0	0	0	0	1
45	31.17377453978149	11	4340.519798301893	31.17377453978149	33.80028395822372	31.97031703356928	0	0	0	0	0	0	0	0	0	0	0	1
46	32.838504655417786	11	4432.193957131602	32.838504655417786	33.77982056880232	32.12608245560479	0	0	0	0	0	0	0	0	0	0	0	1
47	28.80598360077134	11	4512.610661350422	28.80598360077134	33.67619896530167	32.04898236508342	0	0	0	0	0	0	0	0	0	0	0	1
48	31.420088567355226	11	4600.325075267621	31.420088567355226	33.63015589595583	31.83693691030897	0	0	0	0	0	0	0	0	0	0	0	1
49	30.759317129322984	11	4686.194835586981	30.759317129322984	33.57273912062317	31.677150194480664	0	0	0	0	0	0	0	0	0	0	0	1
50	32.3045759986818	11	4776.3784435833	32.3045759986818	33.54787317705569	31.278553252946573	0	0	0	0	0	0	0	0	0	0	0	1
51	31.286514811667107	11	4863.719964099205	31.286514811667107	33.504385516182836	30.672057556501006	0	0	0	0	0	0	0	0	0	0	0	1
52	33.70666711877301	11	4957.817743139113	33.70666711877301	33.50820215019397	31.07809231612696	0	0	0	0	0	0	0	0	0	0	0	1
53	30.00111386144238	11	5041.570852668973	30.00111386144238	33.44325607077265	31.09230064207361	0	0	0	0	0	0	0	0	0	0	0	1
54	36.46483855542017	11	5143.368526969522	36.46483855542017	33.49819393412987	31.87613788386333	0	0	0	0	0	0	0	0	0	0	0	1
55	39.58685386887402	11	5253.881827353462	39.58685386887402	33.60692000439316	32.71744581677258	0	0	0	0	0	0	0	0	0	0	0	1
56	35.136589007295036	11	5351.9714716654935	35.136589007295036	33.63375630268968	32.9472542519603	0	0	0	0	0	0	0	0	0	0	0	1
57	38.03998964533755	11	5458.1664427587275	38.03998964533755	33.709725843080165	33.87065485641692	0	0	0	0	0	0	0	0	0	0	0	1
58	35.705858012561194	11	5557.845296377128	35.705858012561194	33.74355859171544	34.29923180093752	0	0	0	0	0	0	0	0	0	0	0	1
59	33.52873347854327	11	5651.4463440047275	33.52873347854327	33.73997817316257	34.57617343585955	0	0	0	0	0	0	0	0	0	0	0	1
60	30.423800383235807	11	5736.379453407928	30.423800383235807	33.685614602835905	34.38809587431495	0	0	0	0	0	0	0	0	0	0	0	1
61	34.45463129665075	11	5832.565299111078	34.45463129665075	33.69801809789743	34.704907522813315	0	0	0	0	0	0	0	0	0	0	0	1
62	38.56501153604776	11	5940.225956315879	38.56501153604776	33.77527196199506	35.190741964540805	0	0	0	0	0	0	0	0	0	0	0	1
63	33.392302410672706	11	6033.446133879007	33.392302410672706	33.76928806275564	35.529860819463835	0	0	0	0	0	0	0	0	0	0	0	1
64	27.03632806019391	11	6108.922549713715	27.03632806019391	33.66570406271623	34.5870097699412	0	0	0	0	0	0	0	0	0	0	0	1
65	28.03214365537433	11	6187.178950751635	28.03214365537433	33.58034708684741	33.43153874859123	0	0	0	0	0	0	0	0	0	0	0	1
66	26.232636433845485	11	6260.411727462787	26.232636433845485	33.47067976366828	32.541143491246274	0	0	0	0	0	0	0	0	0	0	0	1
67	31.483562525901142	11	6348.303339514261	31.483562525901142	33.44145745134818	31.885500779302635	0	0	0	0	0	0	0	0	0	0	0	1
68	26.334288172629133	11	6421.819893996184	26.334288172629133	33.338454998033406	30.948343795309434	0	0	0	0	0	0	0	0	0	0	0	1
69	27.25685120544286	11	6497.911936944712	27.25685120544286	33.251574943853534	30.321155567999387	0	0	0	0	0	0	0	0	0	0	0	1
70	27.44137024458125	11	6574.519095544168	27.44137024458125	33.1697410748497	30.02291255413393	0	0	0	0	0	0	0	0	0	0	0	1
71	34.81475003252275	11	6671.710272718294	34.81475003252275	33.19258842148405	30.05892442772113	0	0	0	0	0	0	0	0	0	0	0	1
72	32.39522240304573	11	6762.14693526013	32.39522240304573	33.18166559931366	29.441945514420933	0	0	0	0	0	0	0	0	0	0	0	1
