task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
49	74.76389329609201	4	3200.719672940325	26.781096106062808	70.414913557296	4	333.787668070928	25.22325261753887	0	0	0	0	2	0	0	0	0	0	0	0
50	63.987283249120004	1	3264.706956189445	22.9208178802818	44.23824620423999	0	378.025914275168	15.846535953757611	1	1	0	0	0	0	0	0	0	0	0	0
51	65.34775034930401	1	3330.054706538749	23.408149378855168	65.69348080063999	0	443.719395075808	23.531993122617305	1	1	0	0	0	0	0	0	0	0	0	0
52	64.660073418864	1	3394.7147799576132	23.161817344070684	70.99337479344	0	514.712769869248	25.43046261257552	1	1	0	0	0	0	0	0	0	0	0	0
53	71.65460609575202	1	3466.3693860533654	25.667321586538037	36.35127369104	0	551.0640435602879	13.021351769924777	1	1	0	0	0	0	0	0	0	0	0	0
54	64.07177683968	1	3530.441162893045	22.951084241079407	37.436979764096	0	588.5010233243839	13.41026140803439	1	1	0	0	0	0	0	0	0	0	0	0
55	82.959296930125	1	3613.4004598231704	29.716763079447762	40.286415515808	0	628.787438840192	14.430954811632718	1	1	0	0	0	0	0	0	0	0	0	0
56	39.15428423445	1	3652.5547440576206	14.025415248161195	66.629135249424	0	695.416574089616	23.867152925166803	1	1	0	0	0	0	0	0	0	0	0	0
57	54.69299109215999	1	3707.2477351497805	19.59151919719164	40.885221092760005	0	736.301795182376	14.645452331734925	1	1	0	0	0	0	0	0	0	0	0	0
58	54.600869604074994	1	3761.8486047538554	19.558520455191044	36.382776278970006	0	772.6845714613461	13.032636279034032	1	1	0	0	0	0	0	0	0	0	0	0
59	53.291034076200006	1	3815.1396388300554	19.089325639235824	65.67890263605001	0	65.67890263605001	23.526771093510455	1	1	0	0	0	0	0	0	0	0	0	0
60	48.88919807104	1	3864.0288369010955	17.5125485627606	82.83351257544	1	148.51241521149	29.671705997172534	0	2	0	0	0	0	0	0	0	0	0	0
61	48.73100492031999	1	3912.7598418214156	17.45588235951761	78.49368900318	2	227.00610421467002	28.11714232949731	0	1	1	0	0	0	0	0	0	0	0	0
62	55.365046661419996	1	3968.1248884828356	19.832255520508657	51.98741467920001	0	278.99351889387003	18.622357497026865	1	1	0	0	0	0	0	0	0	0	0	0
63	33.98119274795	1	4002.1060812307855	12.172367551504475	81.4271239859	0	360.42064287977	29.167925009874622	1	1	0	0	0	0	0	0	0	0	0	0
64	34.95402629817001	1	4037.0601075289555	12.520845241135525	41.49480964068	0	401.91545252045	14.863812408601794	1	1	0	0	0	0	0	0	0	0	0	0
65	35.25332489968499	0	35.25332489968499	12.628056680484177	39.8402971967	0	441.75574971715	14.271151234638808	2	0	0	0	0	0	0	0	0	0	0	0
66	36.20772873536	1	71.46105363504499	12.969932681322987	41.1528061406	0	482.90855585775	14.741303692155226	1	1	0	0	0	0	0	0	0	0	0	0
67	33.927874827210005	2	105.388928462255	12.153268594821492	65.784826848405	0	548.693382706155	23.564714094951043	1	0	1	0	0	0	0	0	0	0	0	0
68	38.137908640272	3	143.526837102527	13.661340408455642	41.519120051772	0	590.212502757927	14.87252061556012	1	0	0	1	0	0	0	0	0	0	0	0
69	35.473528121328	4	179.000365223855	12.70693544644585	46.393786555523995	0	636.606289313451	16.61866981093397	1	0	0	0	1	0	0	0	0	0	0	0
70	46.770424971984	3	225.770790195839	16.753585064591284	41.771197627739994	0	41.771197627739994	14.962817060682982	1	0	0	1	0	0	0	0	0	0	0	0
71	39.902098472784	3	265.672888668623	14.293289005176359	83.72736925627198	1	125.49856688401198	29.991893464933245	0	1	0	1	0	0	0	0	0	0	0	0
72	35.6001463314	3	301.273035000023	12.75229122318806	39.916755075774	2	165.41532195978598	14.298539131620535	0	0	1	1	0	0	0	0	0	0	0	0
73	39.383228682504004	3	340.656263682527	14.107425199702925	67.86718836309	0	233.28251032287596	24.310634637524775	1	0	0	1	0	0	0	0	0	0	0	0
74	70.44589535335201	3	411.102159035879	25.234350574335046	66.546559447368	0	299.82906977024396	23.83757353338555	1	0	0	1	0	0	0	0	0	0	0	0
75	36.275997524274	3	447.378156560153	12.99438717287427	36.202922750655	0	336.03199252089894	12.968211134562985	1	0	0	1	0	0	0	0	0	0	0	0
76	66.75063888472201	3	514.128795444875	23.910676615422812	39.233013123119996	0	375.2650056440189	14.05361664111761	1	0	0	1	0	0	0	0	0	0	0	0
77	39.459066558976	3	553.587862003851	14.134591006200358	48.554010807855	0	423.8190164518739	17.392481483410744	1	0	0	1	0	0	0	0	0	0	0	0
