task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
30	0.4811954248449304	16	1706.1496182076512	29.51880457515507	20.321385030761103	19.842254896578346	13.02117773578486	3	1490.5970166220468	16.97882226421514	17.754009130982197	17.52871077837371	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
31	13.969886237344618	17	1749.5645096481762	16.030113762655382	20.187282803632797	20.1054846090508	0.6101263390272003	6	1573.4994421235788	30.6101263390272	18.1557627937336	19.445732610478522	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
32	16.728717402524307	11	1785.5075666830062	13.271282597475693	19.977707039809854	20.193262280584612	17.7256286484096	12	1606.7425312008027	12.2743713515904	17.97753881063835	19.435712696397935	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
33	17.59828478170523	1	1819.0955453992212	12.401715218294767	19.75488375094176	18.987686434048648	9.477988386372925	6	1662.3229793210426	20.522011613627075	18.052376246020373	18.70467458865127	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
34	15.696430504264614	16	1857.8343794501711	14.303569495735386	19.599131915078722	18.79808587069259	0.5809294274008643	19	1745.1463298535866	30.580929427400864	18.410334908345533	20.268951277597882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
35	14.189146687476928	9	1900.6554405049212	15.810853312523072	19.493901953896618	19.224091811694016	17.00785316257403	3	1780.3333942049487	12.992146837425969	18.25982968415332	20.06749810195931	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
36	2.278115353602459	13	1988.0753362542612	32.27811535360246	19.839421234969752	19.465193198452983	1.8038767024349553	14	1856.6978948025208	28.196123297565045	18.528378160191473	21.743267698150667	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
37	11.514089447616001	0	2038.1413440003012	18.485910552384	19.803802532796443	19.852838508633784	1.3014212504344727	19	1941.4725773557807	31.301421250434473	18.864510873092605	23.39573636779237	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
38	8.26761680505156	19	2141.782806180649	38.26761680505156	20.277233667982472	20.54755453645894	0.20844849571273727	8	2023.2871253650028	30.208448495712737	19.155381068544404	23.30022372784807	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
39	5.350712082635809	9	2237.524318071121	35.35071208263581	20.654070628348805	22.57186937555132	15.27832899585231	9	2063.158317667903	14.72167100414769	19.044538316934485	22.838607188114658	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
40	1.1775965859744062	9	2321.963642158135	31.177596585974406	20.91074199316894	22.737748576633255	0.4563123385919994	19	2145.644163584923	30.456312338592	19.32287426868223	24.186356195552342	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
41	17.547619977174648	11	2355.688838053287	12.452380022825354	20.70935242244647	22.37997520265025	0.046614564054653584	19	2226.7679158072747	29.953385435945346	19.575981677426594	24.120682105244153	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
42	15.331921247627813	9	2395.414884674295	14.668078752372187	20.568857685933118	22.5196548181399	2.2165901299458426	19	2314.021180742545	32.21659012994584	19.869949315857273	26.114903983079707	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
43	17.495887186992004	3	2429.2801902095252	12.504112813007996	20.385568029730273	22.529894577611223	3.7009792267008024	19	2405.294666148193	33.7009792267008	20.18429090474008	27.432800744387073	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
44	16.699696836036924	5	2465.3018446119254	13.300303163963076	20.22811769937989	22.42956794443399	0.5434929937823973	19	2488.016626339687	30.543492993782397	20.414495395607688	27.429057101025233	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
45	18.63661174158277	2	2496.0776878118054	11.36338825841723	20.035406189793747	21.984821439023406	0.42703267845119797	19	2570.423173177159	30.427032678451198	20.632159249582546	29.172545685127755	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
46	18.485335061147076	14	2527.2632386878654	11.514664938852922	19.85411382275245	19.90847639754845	13.778344809926399	3	2614.356822650275	16.2216551900736	20.5383187376781	27.97509887437861	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
47	16.17511712052997	14	2564.7056298197635	13.82488287947003	19.7285048447674	19.442373630257055	15.189756500121598	15	2654.4678987957786	14.810243499878402	20.418983836890607	26.325981099323002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
48	8.84601429769846	19	2669.9135852093636	38.84601429769846	20.118658098908853	19.500213379521746	0.381078876192003	19	2736.749987418799	30.381078876192003	20.622291898917165	26.343244137370924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
49	2.390929559685418	9	2757.6390194335117	32.39092955968542	20.36410352812438	19.204235127226706	0.6829463927387067	19	2819.8496338991326	30.682946392738707	20.823504988793598	27.939371676230024	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
50	13.445330064377355	9	2802.4745838424897	16.554669935622645	20.289408751800817	17.741942462191535	18.302130204563078	3	2851.531364595108	11.697869795436924	20.644570965394447	26.063527421914518	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
51	12.566240932955079	9	2849.6910146490695	17.43375906704492	20.23449241170936	18.24008036661349	0.28176306981600163	19	2932.018256281023	29.718236930184	20.8190645416404	26.040012571338387	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
52	1.214370891668672	19	2934.2299358140053	31.214370891668672	20.441659930199158	19.89470958054314	0.34970017782498886	19	3012.321151632747	29.65029982217501	20.985691622405202	25.7833835405613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
53	14.426023120037907	5	2976.4094565305695	15.573976879962093	20.35151765149107	20.201695987238544	0.26807371238399824	19	3092.845118661707	29.731926287616	21.147658931020217	25.386478246652825	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
54	16.74896566739077	4	3012.2976745147193	13.251034332609228	20.222417954784124	20.19676910410316	18.995765400297593	19	3225.541983287513	48.99576540029759	21.653988139552535	27.231705487304346	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
