STOKE: Start Bat: 1.000000
ELocation 0: Diff:1 ms Accuracy:10.00
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3752 Watts:1.5755
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3752 Watts:1.5755
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6662 Watts:2.7973
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6662 Watts:2.7973
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6662 Watts:2.7973
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6662 Watts:2.7973
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6662 Watts:2.7973
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6662 Watts:2.7973
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3076 Watts:1.2917
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3076 Watts:1.2917
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3076 Watts:1.2917
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3076 Watts:1.2917
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3076 Watts:1.2917
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3076 Watts:1.2917
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3557 Watts:1.4935
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3557 Watts:1.4935
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3557 Watts:1.4935
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3557 Watts:1.4935
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3557 Watts:1.4935
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3557 Watts:1.4935
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3212 Watts:1.3487
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3212 Watts:1.3487
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3212 Watts:1.3487
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3212 Watts:1.3487
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3212 Watts:1.3487
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3212 Watts:1.3487
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5539 Watts:2.3258
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5539 Watts:2.3258
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5539 Watts:2.3258
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5539 Watts:2.3258
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5539 Watts:2.3258
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5539 Watts:2.3258
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2702 Watts:1.1347
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2702 Watts:1.1347
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2702 Watts:1.1347
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2702 Watts:1.1347
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2702 Watts:1.1347
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2702 Watts:1.1347
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6116 Watts:2.5680
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6116 Watts:2.5680
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6116 Watts:2.5680
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6116 Watts:2.5680
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6116 Watts:2.5680
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6116 Watts:2.5680
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2711 Watts:1.1385
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2711 Watts:1.1385
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2711 Watts:1.1385
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2711 Watts:1.1385
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2711 Watts:1.1385
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2711 Watts:1.1385
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2711 Watts:1.1385
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5603 Watts:2.3527
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5603 Watts:2.3527
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5603 Watts:2.3527
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5603 Watts:2.3527
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5603 Watts:2.3527
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5603 Watts:2.3527
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5922 Watts:2.4866
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5922 Watts:2.4866
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5922 Watts:2.4813
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5922 Watts:2.4813
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5922 Watts:2.4813
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.5922 Watts:2.4813
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2840 Watts:1.1898
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2840 Watts:1.1898
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2840 Watts:1.1898
STOKE: Battery:0.970000 Level:97 Voltage:4.1900 Amps:0.2840 Watts:1.1898
