task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
31	41.76461645038522	0	2976.714000834631	41.76461645038522	34.34670000963035	34.046778617941335	31.016817580578454	0	2905.580691537718	31.016817580578454	33.52593105620444	33.662027520848895	2	0	0	0	0	0	0	0	0	0	0	0
32	38.83594578401354	0	3081.894687333001	38.83594578401354	34.48273776036923	34.68676998469222	31.172048449731683	0	2990.004989422408	31.172048449731683	33.45460128025072	34.897939794293386	2	0	0	0	0	0	0	0	0	0	0	0
33	34.89960734963445	0	3176.414457238261	34.89960734963445	34.49499863064174	34.774629080449685	31.699898614707685	0	3075.858881503908	31.699898614707685	33.402992378322985	34.597417052152096	2	0	0	0	0	0	0	0	0	0	0	0
34	37.94735307218067	0	3279.188538475417	37.94735307218067	34.59363732897142	34.874580966632934	29.938621103700928	0	3156.9426469930977	29.938621103700928	33.30401034190521	34.53509380241583	2	0	0	0	0	0	0	0	0	0	0	0
35	34.458472677578946	0	3372.51356864386	34.458472677578946	34.58988275532163	34.37490921603946	29.506831362055383	0	3236.856981931998	29.506831362055383	33.198533148020495	34.1240212444567	2	0	0	0	0	0	0	0	0	0	0	0
36	38.75704395787051	0	3477.4805626964257	38.75704395787051	34.7025087337689	33.823263995205224	30.303580865711996	0	3318.9291801099675	30.303580865711996	33.12029119444459	33.751940323718586	2	0	0	0	0	0	0	0	0	0	0	0
37	36.64623614140319	0	3576.730785579393	36.64623614140319	34.75365945502244	33.532969359457546	30.015406008719996	0	3400.2209047169176	30.015406008719996	33.0385836895571	33.41730511535637	2	0	0	0	0	0	0	0	0	0	0	0
38	33.58620693473723	0	3667.693429360973	33.58620693473723	34.72372477501512	33.28596507386665	36.384804382512	0	3498.7630832528876	36.384804382512	33.124384220145686	33.75445565064709	2	0	0	0	0	0	0	0	0	0	0	0
39	33.636849433068555	0	3758.793229908867	33.636849433068555	34.69655289146646	33.32340528673588	35.50260966741415	0	3594.9159844354676	35.50260966741415	33.183839856327396	33.879804143107194	2	0	0	0	0	0	0	0	0	0	0	0
40	33.53524633440887	0	3849.617855397891	33.53524633440887	34.66822834129432	33.78748150879019	40.2000526098432	0	3703.7911269204596	40.2000526098432	33.354966996657055	34.85680363356897	2	0	0	0	0	0	0	0	0	0	0	0
41	29.48001681287335	0	3929.4595675994233	29.48001681287335	34.54469949537954	33.929100919069256	40.2096698011008	0	3812.692315965108	40.2096698011008	33.518174206286666	34.91970981260813	2	0	0	0	0	0	0	0	0	0	0	0
42	28.21353570596381	0	4005.8712268030754	28.21353570596381	34.39746312818382	34.0764397690642	30.837756698611205	0	3896.21124035718	30.837756698611205	33.45583891541049	34.158674838053315	2	0	0	0	0	0	0	0	0	0	0	0
43	30.2669082905472	0	4087.8441034233074	30.2669082905472	34.303586881873905	33.82674497363431	30.66004825516799	0	3979.24887104826	30.66004825516799	33.392298218586795	33.254269360899904	2	0	0	0	0	0	0	0	0	0	0	0
