task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
99	70.8699127149	2	345.590581792386	25.38623739041194	50.06864683777	1	318.794067967946	17.935037673231044	0	1	1	0	0	0	0	0	0	0	0	0
100	82.60016607396	2	428.190747866346	29.588119190672238	75.26111705109798	1	394.05518501904396	26.95920610785599	0	1	1	0	0	0	0	0	0	0	0	0
101	69.72744673529999	2	497.91819460164595	24.976995845480594	69.21637460891999	1	463.27155962796394	24.793925233045965	0	1	1	0	0	0	0	0	0	0	0	0
102	70.47795501945001	2	568.3961496210959	25.24583463383284	40.02613331138401	1	503.29769293934794	14.337719395122633	0	1	1	0	0	0	0	0	0	0	0	0
103	72.12007135386199	2	640.5162209749578	25.834055410338625	68.28562569829	1	571.583318637638	24.460522638193435	0	1	1	0	0	0	0	0	0	0	0	0
104	81.075837557748	2	721.5920585327058	29.04209106546197	68.506327975068	1	640.0896466127059	24.53958017017362	0	1	1	0	0	0	0	0	0	0	0	0
105	78.691355335404	2	800.2834138681097	28.18794817984621	49.95278729254099	1	690.0424339052469	17.893535746581847	0	1	1	0	0	0	0	0	0	0	0	0
106	72.87173600647199	0	72.87173600647199	26.10330842022877	32.576599636565994	0	32.576599636565994	11.669229720560955	2	0	0	0	0	0	0	0	0	0	0	0
107	105.53145064665	1	178.403186653122	37.80231067939702	48.254100477478	1	80.83070011404399	17.285050917305554	0	2	0	0	0	0	0	0	0	0	0	0
108	71.51308474740499	2	249.91627140052697	25.61662737220477	33.222751603184	2	114.053451717228	11.900687141439043	0	0	2	0	0	0	0	0	0	0	0	0
109	69.36892367488	2	319.28519507540693	24.848569674583878	68.8116657236	3	182.865117440828	24.64895488606567	0	0	1	1	0	0	0	0	0	0	0	0
110	85.23710075681998	2	404.5222958322269	30.532692808413135	92.774970391642	4	275.64008783247	33.23282521491654	0	0	1	0	1	0	0	0	0	0	0	0
111	150.9387359931	0	555.4610318253269	54.0676069229015	86.34532022355802	3	361.985408056028	30.929666945752132	1	0	0	1	0	0	0	0	0	0	0	0
112	99.720616446	2	655.1816482713269	35.72081783140298	45.646030509127996	3	407.63143856515603	16.350816898792115	0	0	1	1	0	0	0	0	0	0	0	0
113	72.771970849905	1	727.9536191212319	26.067571647727164	35.62706464280599	3	443.258503207962	12.76193360339319	0	1	0	1	0	0	0	0	0	0	0	0
114	66.646421120475	2	794.6000402417069	23.87334487897612	41.332638162564	3	484.59114137052603	14.805721132858746	0	0	1	1	0	0	0	0	0	0	0	0
115	69.21119006549999	2	863.8112303072069	24.792068083164175	35.38342054582299	3	519.974561916349	12.674658105966445	0	0	1	1	0	0	0	0	0	0	0	0
116	76.97921017223798	2	940.7904404794449	27.57464244975689	34.678611923409996	3	554.653173839759	12.4221893456991	0	0	1	1	0	0	0	0	0	0	0	0
