task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
28	14.172744635566158	0	1230.394086357279	14.172744635566158	15.665494998713367	15.527801193353906	13.153174205627078	0	1224.844149264583	13.153174205627078	15.594832669681695	15.515224087320922	2	0	0	0	0	0	0	0	0	0	0	0
29	12.856548412925537	0	1265.213904975619	12.856548412925537	15.571863445853772	15.440583483879248	13.032571036120613	0	1260.1406958207428	13.032571036120613	15.509423948562992	13.70150504651605	2	0	0	0	0	0	0	0	0	0	0	0
30	12.54757288394437	0	1299.196914869635	12.54757288394437	15.474305685792178	13.351656565584184	14.618281086542769	0	1299.7318737634628	14.618281086542769	15.480677404626856	13.500550802581108	2	0	0	0	0	0	0	0	0	0	0	0
31	12.916623010308927	0	1334.179435522555	12.916623010308927	15.394378102183326	13.53820199523216	14.749791495552	0	1339.6792257305829	14.749791495552	15.457837219968267	13.40700651336336	2	0	0	0	0	0	0	0	0	0	0	0
32	12.552160512444553	0	1368.174870243759	12.552160512444553	15.308250296433668	13.372234768652493	26.29309834084431	0	1410.8897004037028	26.29309834084431	15.78617846605542	14.689256561987634	2	0	0	0	0	0	0	0	0	0	0	0
33	12.561039208833598	0	1402.19435143435	12.561039208833598	15.227449970327783	14.528086019314376	18.35142080699077	0	1460.5914650893028	18.35142080699077	15.861626770200576	15.047910679450746	2	0	0	0	0	0	0	0	0	0	0	0
34	33.02350672652307	0	1491.63301548535	33.02350672652307	15.735908734790506	17.0646065108105	19.30456879740222	0	1512.8746722489338	19.30456879740222	15.959996542406339	17.69180628693866	2	0	0	0	0	0	0	0	0	0	0	0
35	14.266141029373292	0	1530.270480773236	14.266141029373292	15.695081854084473	17.863663101481553	18.4405773856416	0	1562.81790266838	18.4405773856416	16.028901565829543	18.245892731391436	2	0	0	0	0	0	0	0	0	0	0	0
36	14.13503878488812	0	1568.5528774823078	14.13503878488812	15.652918527889977	18.367734308849354	13.155308299970953	0	1598.446862647468	13.155308299970953	15.951236882968496	18.208285989291248	2	0	0	0	0	0	0	0	0	0	0	0
37	14.17327051355077	0	1606.9388184565078	14.17327051355077	15.61398042224947	18.370396989401865	12.974985713917663	0	1633.587448955995	12.974985713917663	15.87291448378295	17.038585726709208	2	0	0	0	0	0	0	0	0	0	0	0
