task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
63	5.160341207537314	4	2117.082621107648	14.839658792462686	18.937526895653132	7.064877353995463	2	971.0024594971828	12.935122646004537	18.454083770173614	0	0	1	0	1	0	0	0	0	0	0	0
64	7.7981584604370155	4	2194.685813476368	27.798158460437016	19.296165458673432	4.0350266778743915	0	1038.100242306249	24.03502667787439	16.301388451074626	1	0	0	0	1	0	0	0	0	0	0	0
65	4.749320876879402	4	2237.260626028413	15.250679123120598	18.969669309004058	8.065983970655047	1	1071.4160370548368	11.934016029344953	19.450583435813012	0	1	0	0	1	0	0	0	0	0	0	0
66	6.1398296565454356	4	2275.9536015705567	13.860170343454564	14.321227842139342	2.382707600219696	0	1133.9010957721168	22.382707600219696	23.7805613114283	1	0	0	0	1	0	0	0	0	0	0	0
67	6.147165940157139	4	2314.6260966542845	13.852834059842861	13.762317208112476	17.024960304720246	0	1237.2624432894609	37.024960304720246	30.58654642759355	1	0	0	0	1	0	0	0	0	0	0	0
68	6.426052778959999	2	2352.5200326463546	13.573947221040001	13.682641236280359	12.35197137784072	0	1327.5783633859328	32.35197137784072	35.95187433495523	1	0	1	0	0	0	0	0	0	0	0	0
69	6.378857572041788	2	2390.5457219244045	13.621142427958212	16.429059976690628	18.47869132230472	0	1434.9980433273668	38.47869132230472	29.921295870823162	1	0	1	0	0	0	0	0	0	0	0	0
70	2.09209028107367	0	2452.2194739590686	22.09209028107367	16.409881388352	1.0667750876759392	0	52.855252880238	18.93322491232406	25.12077131538054	2	0	0	0	0	0	0	0	0	0	0	0
71	6.483588543975877	0	2489.952789273803	13.516411456024123	16.82243916128454	2.0496022884871614	0	102.966779824878	17.95039771151284	17.09611686984287	2	0	0	0	0	0	0	0	0	0	0	0
72	5.14118425324418	4	2531.433649900163	14.85881574675582	20.588448035520837	5.595272014308298	1	143.179978784934	14.404727985691702	16.566082560296838	0	1	0	0	1	0	0	0	0	0	0	0
73	13.390116903782562	4	2624.647726256556	33.39011690378256	21.063452672396178	2.656878016314028	1	191.59619432272402	17.343121983685972	14.858886698731226	0	1	0	0	1	0	0	0	0	0	0	0
74	5.058574633349851	4	2666.359205405121	14.941425366650149	22.441225077498984	7.171189873184	2	227.40995592675202	12.828810126816	15.041752232637373	0	0	1	0	1	0	0	0	0	0	0	0
75	1.0078670379357568	4	2719.378909924217	18.992132962064243	17.553394089927284	5.0466754125898525	2	269.154653733272	14.953324587410147	18.74120213500322	0	0	1	0	1	0	0	0	0	0	0	0
76	1.2733760589325378	4	2771.657401759697	18.726623941067462	20.39705351862042	8.441471690783516	3	348.55376220337604	28.441471690783516	18.586659212057786	0	0	0	1	1	0	0	0	0	0	0	0
77	3.472403652729554	4	2837.184528623567	23.472403652729554	24.854451192054807	7.634818642020299	3	383.07322682773605	12.3651813579797	18.002920215020655	0	0	0	1	1	0	0	0	0	0	0	0
78	12.364325982367397	4	2927.534938657676	32.3643259823674	23.573571068802266	6.797892403701253	4	419.92911053407005	13.202107596298747	12.823538676904837	0	0	0	0	2	0	0	0	0	0	0	0
79	5.116016428690154	4	2969.0860594609157	14.883983571309846	20.186095396310325	7.09667292356394	4	455.950898622454	12.90332707643606	12.720892175731342	0	0	0	0	2	0	0	0	0	0	0	0
80	6.690023364746269	4	3006.2430775676658	13.309976635253731	13.859750779753789	7.942758145540779	1	489.610698799486	12.057241854459221	14.582483685988295	0	1	0	0	1	0	0	0	0	0	0	0
81	6.61470786730221	4	3043.610351438114	13.38529213269779	13.453402881906626	1.2131178729303933	0	542.057411404222	18.786882127069607	18.53749801071761	1	0	0	0	1	0	0	0	0	0	0	0
82	6.33506012223164	4	3081.758308596884	13.66493987776836	18.817000980305192	4.768370050623993	3	611.202444462214	24.768370050623993	24.269496722535166	0	0	0	1	1	0	0	0	0	0	0	0
83	9.400770930449426	4	3163.835460777722	29.400770930449426	18.794483487614087	9.253237989911888	2	692.867733850718	29.253237989911888	22.29770783275033	0	0	1	0	1	0	0	0	0	0	0	0
84	6.682260345375523	4	3201.0141506468817	13.317739654624477	20.42145090963056	7.128484542284898	1	728.800714503506	12.871515457715102	18.491858825443824	0	1	0	0	1	0	0	0	0	0	0	0
85	1.4541578561822135	4	3252.7879599650396	18.545842143817787	15.070349629962026	6.649176971295521	2	766.071762125306	13.350823028704479	14.26390190896573	0	0	1	0	1	0	0	0	0	0	0	0
86	6.652532908556182	4	3290.0496389286536	13.347467091443818	20.429702308288473	3.4306327595223927	4	812.327912338306	16.569367240477607	14.208531732948058	0	0	0	0	2	0	0	0	0	0	0	0
87	9.395797689603818	4	3372.1129074787978	29.395797689603818	19.24513055554746	7.2945950703379125	0	847.7971677669459	12.705404929662087	14.439744849663997	1	0	0	0	1	0	0	0	0	0	0	0
88	5.007873114405257	4	3413.9659283677497	14.992126885594743	19.272640847039998	5.9555376211477	2	887.0046252412419	14.0444623788523	13.834418229808717	0	0	1	0	1	0	0	0	0	0	0	0
