task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
65	36.129672793088	0	1341.961883403498	12.941972343792717	1	0	0	0	0	0	0	0	0	0	0	0
66	77.848156232616	0	1419.810039636114	27.885906710190813	1	0	0	0	0	0	0	0	0	0	0	0
67	77.268657831386	0	1497.0786974675	27.678325193332295	1	0	0	0	0	0	0	0	0	0	0	0
68	77.5763009791	0	1574.6549984466	27.788525723856715	1	0	0	0	0	0	0	0	0	0	0	0
69	77.44746884481602	0	77.44746884481602	27.742376899635588	1	0	0	0	0	0	0	0	0	0	0	0
70	42.698139074640004	0	120.14560791945601	15.294855787930748	1	0	0	0	0	0	0	0	0	0	0	0
71	78.15477509439602	1	198.300383013852	27.995740332320963	0	1	0	0	0	0	0	0	0	0	0	0
72	76.260604383936	1	274.56098739778804	27.3172314211114	0	1	0	0	0	0	0	0	0	0	0	0
73	36.791135289215994	2	311.35212268700406	13.178914133450503	0	0	1	0	0	0	0	0	0	0	0	0
74	76.87659323036	2	388.22871591736407	27.53788414221851	0	0	1	0	0	0	0	0	0	0	0	0
75	77.92614611488	3	466.15486203224407	27.913843384434628	0	0	0	1	0	0	0	0	0	0	0	0
76	91.450226454528	3	557.605088486772	32.758290073263765	0	0	0	1	0	0	0	0	0	0	0	0
77	52.09494322651201	4	609.700031713284	18.66087518561624	0	0	0	0	1	0	0	0	0	0	0	0
78	100.32592047091201	4	710.0259521841961	35.937643153759524	0	0	0	0	1	0	0	0	0	0	0	0
79	90.810757598424	4	800.8367097826201	32.52922660242054	0	0	0	0	1	0	0	0	0	0	0	0
80	62.10724465467601	4	862.9439544372962	22.247371219585435	0	0	0	0	1	0	0	0	0	0	0	0
81	36.327124411392	4	899.2710788486881	13.012701281692657	0	0	0	0	1	0	0	0	0	0	0	0
82	36.96895399329	4	936.2400328419782	13.242610385656121	0	0	0	0	1	0	0	0	0	0	0	0
83	36.3965194598	2	972.6365523017781	13.037559209480596	0	0	1	0	0	0	0	0	0	0	0	0
84	36.20725272549	2	1008.8438050272681	12.969762170324776	0	0	1	0	0	0	0	0	0	0	0	0
85	77.27402801071798	1	1086.1178330379862	27.68024883966017	0	1	0	0	0	0	0	0	0	0	0	0
86	36.30370998869999	1	1122.421543026686	13.004314025802982	0	1	0	0	0	0	0	0	0	0	0	0
87	61.157893943727004	1	1183.579436970413	21.907305293275343	0	1	0	0	0	0	0	0	0	0	0	0
88	37.23688312029	1	1220.8163200907031	13.338584998312836	0	1	0	0	0	0	0	0	0	0	0	0
89	39.594683936934	4	1260.411004027637	14.183170365468895	0	0	0	0	1	0	0	0	0	0	0	0
90	78.50275340978702	2	1338.913757437424	28.12038928111774	0	0	1	0	0	0	0	0	0	0	0	0
91	77.326604393472	2	1416.240361830896	27.699082170795936	0	0	1	0	0	0	0	0	0	0	0	0
92	91.5631007184	3	1507.803462549296	32.798722645397014	0	0	0	1	0	0	0	0	0	0	0	0
93	35.732520863028	2	1543.535983412324	12.799708965860777	0	0	1	0	0	0	0	0	0	0	0	0
94	77.95680771259799	0	1621.492791124922	27.92482664331868	1	0	0	0	0	0	0	0	0	0	0	0
95	90.627352576488	0	1712.12014370141	32.46352928113003	1	0	0	0	0	0	0	0	0	0	0	0
96	92.97220304911501	0	1805.092346750525	33.30347571908598	1	0	0	0	0	0	0	0	0	0	0	0
97	51.647468626908	0	1856.739815377433	18.500585776802865	1	0	0	0	0	0	0	0	0	0	0	0
98	36.76328833446001	0	1893.503103711893	13.168939104881195	1	0	0	0	0	0	0	0	0	0	0	0
99	37.718937364964994	0	1931.222041076858	13.511261145659102	1	0	0	0	0	0	0	0	0	0	0	0
100	36.20173414923	0	36.20173414923	12.967785366888359	1	0	0	0	0	0	0	0	0	0	0	0
101	88.268288600661	0	124.470022749891	31.618491439042742	1	0	0	0	0	0	0	0	0	0	0	0
102	79.02930800069099	1	203.49933075058198	28.30900585099379	0	1	0	0	0	0	0	0	0	0	0	0
103	78.370427059758	1	281.86975781034	28.072988797525255	0	1	0	0	0	0	0	0	0	0	0	0
104	38.17838315382	2	320.04814096416	13.675838741666865	0	0	1	0	0	0	0	0	0	0	0	0
105	67.612116329472	2	387.66025729363196	24.219265550855642	0	0	1	0	0	0	0	0	0	0	0	0
106	79.72021708752001	3	467.380474381152	28.556495673141495	0	0	0	1	0	0	0	0	0	0	0	0
107	79.804018321776	3	547.184492702928	28.586514025710805	0	0	0	1	0	0	0	0	0	0	0	0
108	78.35853014688598	4	625.543022849814	28.068727216794976	0	0	0	0	1	0	0	0	0	0	0	0
109	78.84685662292799	4	704.389879472742	28.243650133586147	0	0	0	0	1	0	0	0	0	0	0	0
110	36.687110791152	2	741.076990263894	13.141651626681316	0	0	1	0	0	0	0	0	0	0	0	0
111	89.954687829216	0	831.03167809311	32.22257474479379	1	0	0	0	0	0	0	0	0	0	0	0
112	36.919518149375996	1	867.951196242486	13.224902023657071	0	1	0	0	0	0	0	0	0	0	0	0
113	97.18043267561397	0	965.1316289181	34.81090125693635	1	0	0	0	0	0	0	0	0	0	0	0
114	53.13577804344	0	1018.26740696154	19.033711537948655	1	0	0	0	0	0	0	0	0	0	0	0
115	51.59430605145601	0	1069.861713012996	18.481542466193197	1	0	0	0	0	0	0	0	0	0	0	0
116	45.64435326566401	0	1115.50606627866	16.350216095163226	1	0	0	0	0	0	0	0	0	0	0	0
