==RUN 0==
Accepted:221 Acc-Reject:0 Worse-Reject:0
Accepted:222 Acc-Reject:0 Worse-Reject:0
Accepted:223 Acc-Reject:0 Worse-Reject:0
Accepted:224 Acc-Reject:0 Worse-Reject:0
ETask 10-10: Configuration:0 Energy:89.9889782916 Reward:-32.23485789549851 Raw:32.23485789549851 Time:32505 TotalReward:989.6450985173881
Accepted:225 Acc-Reject:0 Worse-Reject:0
Accepted:226 Acc-Reject:0 Worse-Reject:0
Accepted:227 Acc-Reject:0 Worse-Reject:0
Accepted:228 Acc-Reject:0 Worse-Reject:0
Accepted:229 Acc-Reject:0 Worse-Reject:0
Accepted:230 Acc-Reject:0 Worse-Reject:0
Accepted:231 Acc-Reject:0 Worse-Reject:0
Accepted:232 Acc-Reject:0 Worse-Reject:0
Accepted:233 Acc-Reject:0 Worse-Reject:0
Accepted:234 Acc-Reject:0 Worse-Reject:0
Accepted:235 Acc-Reject:0 Worse-Reject:0
Accepted:236 Acc-Reject:0 Worse-Reject:0
Accepted:237 Acc-Reject:0 Worse-Reject:0
Accepted:238 Acc-Reject:0 Worse-Reject:0
Accepted:239 Acc-Reject:0 Worse-Reject:0
Accepted:240 Acc-Reject:0 Worse-Reject:0
Accepted:241 Acc-Reject:0 Worse-Reject:0
Accepted:242 Acc-Reject:0 Worse-Reject:0
Accepted:243 Acc-Reject:0 Worse-Reject:0
Accepted:244 Acc-Reject:0 Worse-Reject:0
Accepted:245 Acc-Reject:0 Worse-Reject:0
ETask 11-11: Configuration:0 Energy:87.38628871427 Reward:-31.30255118123104 Raw:31.30255118123104 Time:32504 TotalReward:1077.031387231658
Accepted:246 Acc-Reject:0 Worse-Reject:0
Accepted:247 Acc-Reject:0 Worse-Reject:0
Accepted:248 Acc-Reject:0 Worse-Reject:0
Accepted:249 Acc-Reject:0 Worse-Reject:0
Accepted:250 Acc-Reject:0 Worse-Reject:0
Accepted:251 Acc-Reject:0 Worse-Reject:0
Accepted:252 Acc-Reject:0 Worse-Reject:0
Accepted:253 Acc-Reject:0 Worse-Reject:0
Accepted:254 Acc-Reject:0 Worse-Reject:0
Accepted:255 Acc-Reject:0 Worse-Reject:0
Accepted:256 Acc-Reject:0 Worse-Reject:0
Accepted:257 Acc-Reject:0 Worse-Reject:0
Accepted:258 Acc-Reject:0 Worse-Reject:0
Accepted:259 Acc-Reject:0 Worse-Reject:0
Accepted:260 Acc-Reject:0 Worse-Reject:0
Accepted:261 Acc-Reject:0 Worse-Reject:0
Accepted:262 Acc-Reject:0 Worse-Reject:0
Accepted:263 Acc-Reject:0 Worse-Reject:0
Accepted:264 Acc-Reject:0 Worse-Reject:0
Accepted:265 Acc-Reject:0 Worse-Reject:0
Accepted:266 Acc-Reject:0 Worse-Reject:0
Accepted:267 Acc-Reject:0 Worse-Reject:0
Accepted:268 Acc-Reject:0 Worse-Reject:0
Accepted:269 Acc-Reject:0 Worse-Reject:0
ETask 12-12: Configuration:0 Energy:93.74118161057999 Reward:-33.57893072617791 Raw:33.57893072617791 Time:32503 TotalReward:1170.7725688422381
Accepted:270 Acc-Reject:0 Worse-Reject:0
Accepted:271 Acc-Reject:0 Worse-Reject:0
Accepted:272 Acc-Reject:0 Worse-Reject:0
Accepted:273 Acc-Reject:0 Worse-Reject:0
Accepted:274 Acc-Reject:0 Worse-Reject:0
Accepted:275 Acc-Reject:0 Worse-Reject:0
Accepted:276 Acc-Reject:0 Worse-Reject:0
Accepted:277 Acc-Reject:0 Worse-Reject:0
Accepted:278 Acc-Reject:0 Worse-Reject:0
Accepted:279 Acc-Reject:0 Worse-Reject:0
Accepted:280 Acc-Reject:0 Worse-Reject:0
Accepted:281 Acc-Reject:0 Worse-Reject:0
Accepted:282 Acc-Reject:0 Worse-Reject:0
Accepted:283 Acc-Reject:0 Worse-Reject:0
Accepted:284 Acc-Reject:0 Worse-Reject:0
Accepted:285 Acc-Reject:0 Worse-Reject:0
Accepted:286 Acc-Reject:0 Worse-Reject:0
Accepted:287 Acc-Reject:0 Worse-Reject:0
Accepted:288 Acc-Reject:0 Worse-Reject:0
Accepted:289 Acc-Reject:0 Worse-Reject:0
Accepted:290 Acc-Reject:0 Worse-Reject:0
ETask 13-13: Configuration:0 Energy:101.84532958887002 Reward:-36.481909106460904 Raw:36.481909106460904 Time:32502 TotalReward:1272.6178984311082
Accepted:291 Acc-Reject:0 Worse-Reject:0
Accepted:292 Acc-Reject:0 Worse-Reject:0
Accepted:293 Acc-Reject:0 Worse-Reject:0
Accepted:294 Acc-Reject:0 Worse-Reject:0
Accepted:295 Acc-Reject:0 Worse-Reject:0
Accepted:296 Acc-Reject:0 Worse-Reject:0
Accepted:297 Acc-Reject:0 Worse-Reject:0
Accepted:298 Acc-Reject:0 Worse-Reject:0
Accepted:299 Acc-Reject:0 Worse-Reject:0
Accepted:300 Acc-Reject:0 Worse-Reject:0
Accepted:301 Acc-Reject:0 Worse-Reject:0
Accepted:302 Acc-Reject:0 Worse-Reject:0
Accepted:303 Acc-Reject:0 Worse-Reject:0
Accepted:304 Acc-Reject:0 Worse-Reject:0
Accepted:305 Acc-Reject:0 Worse-Reject:0
Accepted:306 Acc-Reject:0 Worse-Reject:0
Accepted:307 Acc-Reject:0 Worse-Reject:0
Accepted:308 Acc-Reject:0 Worse-Reject:0
Accepted:309 Acc-Reject:0 Worse-Reject:0
Accepted:310 Acc-Reject:0 Worse-Reject:0
ETask 14-14: Configuration:0 Energy:107.72543452986 Reward:-38.588215353979706 Raw:38.588215353979706 Time:32504 TotalReward:1380.3433329609682
Accepted:311 Acc-Reject:0 Worse-Reject:0
Accepted:312 Acc-Reject:0 Worse-Reject:0
Accepted:313 Acc-Reject:0 Worse-Reject:0
Accepted:314 Acc-Reject:0 Worse-Reject:0
Accepted:315 Acc-Reject:0 Worse-Reject:0
Accepted:316 Acc-Reject:0 Worse-Reject:0
Accepted:317 Acc-Reject:0 Worse-Reject:0
Accepted:318 Acc-Reject:0 Worse-Reject:0
Accepted:319 Acc-Reject:0 Worse-Reject:0
Accepted:320 Acc-Reject:0 Worse-Reject:0
Accepted:321 Acc-Reject:0 Worse-Reject:0
Accepted:322 Acc-Reject:0 Worse-Reject:0
Accepted:323 Acc-Reject:0 Worse-Reject:0
Accepted:324 Acc-Reject:0 Worse-Reject:0
Accepted:325 Acc-Reject:0 Worse-Reject:0
Accepted:326 Acc-Reject:0 Worse-Reject:0
Accepted:327 Acc-Reject:0 Worse-Reject:0
Accepted:328 Acc-Reject:0 Worse-Reject:0
Accepted:329 Acc-Reject:0 Worse-Reject:0
Accepted:330 Acc-Reject:0 Worse-Reject:0
Accepted:331 Acc-Reject:0 Worse-Reject:0
Accepted:332 Acc-Reject:0 Worse-Reject:0
Accepted:333 Acc-Reject:0 Worse-Reject:0
Accepted:334 Acc-Reject:0 Worse-Reject:0
ETask 15-15: Configuration:0 Energy:109.2381218159 Reward:-39.130073486292545 Raw:39.130073486292545 Time:32503 TotalReward:1489.5814547768682
