task	p1-non1s_reward	p1-non1s_total_reward	p1-1s_reward	p1-1s_total_reward	p2-non1s_reward	p2-non1s_total_reward	p2-1s_reward	p2-1s_total_reward	p3-non1s_reward	p3-non1s_total_reward	p3-1s_reward	p3-1s_total_reward	p4-non1s_reward	p4-non1s_total_reward	p4-1s_reward	p4-1s_total_reward
41	0.0	3659.4593177350007	30.997292020046327	3740.286609490038	0.0	3792.0535619524994	28.083543664173853	3674.40232860311	0.0	3841.2201615124995	29.443437608293614	3777.8830136904094	0.0	3667.081084809999	37.35147177612286	4007.458357313552
42	0.0	3762.5136129100006	28.173859027135528	3818.9386326074577	0.0	3883.4592035524993	28.525510574109134	3754.036045622498	0.0	3946.6630766224994	30.50314388735105	3863.037623709264	0.0	3750.158225969999	29.646319522513433	4090.2209993139018
43	0.0	3861.2421342300004	35.367621122773606	3917.673241575201	0.0	3968.1941857024995	30.032943406764172	3837.878012633048	0.0	4050.0816600724993	31.006871075219106	3949.598472127584	0.0	3842.922817272499	29.859030601975878	4173.577459744418
44	0.0	3974.6312344700004	31.553734900900288	4005.7607515068808	0.0	4054.1416167524994	28.357401292774924	3917.042424575378	0.0	4138.3575559625	31.525755226425677	4037.607872134689	0.0	3927.8262671374987	28.626466137522986	4253.493011045003
45	0.0	4058.5491139700002	28.923336973440005	4086.5050672244006	0.0	4158.540096652499	42.81444064047761	4036.566071363378	0.0	4225.4427067775	37.45642440320597	4142.173723593639	0.0	4023.866193099999	31.17377453978149	4340.519798301893
46	0.0	4143.762885470001	30.29797620924179	4171.086917475201	0.0	4268.7922490525	34.64958283961122	4133.296156790626	0.0	4308.882052377499	32.22793444767045	4232.143373926719	0.0	4118.496772844999	32.838504655417786	4432.193957131602
47	0.0	4222.203172395	35.88634913306508	4271.269642138341	0.0	4366.806811802499	35.23355493219726	4231.65649764301	0.0	4393.116374757499	31.120517314343278	4319.021484762594	0.0	4213.861752977499	28.80598360077134	4512.610661350422
48	0.0	4300.7407399125	39.26194850546866	4380.875915049441	0.0	4481.832780002499	32.64580118347701	4322.79269261355	0.0	4477.8873683374995	31.237899792659107	4406.227288350434	0.0	4312.842463897499	31.420088567355226	4600.325075267621
49	0.0	4398.285379735001	35.05322276888454	4478.732828612577	0.0	4569.708821112499	32.361639534015055	4413.1356029793415	0.0	4563.2347624175	29.896761281308653	4489.689080260754	0.0	4402.102600317499	30.759317129322984	4686.194835586981
50	0.0	4478.476589827501	31.885606850597014	4567.746814403827	0.0	4653.564951392499	29.53640744397564	4495.591407093773	0.0	4667.7426209375	30.74065012808167	4575.506728534982	0.0	4486.985538457499	32.3045759986818	4776.3784435833
51	0.0	4592.130479592501	31.288335422257074	4655.093417457628	0.0	4739.618964502499	41.16355828326018	4610.506340634542	0.0	4775.490306177499	34.69654184359164	4672.367907848342	0.0	4576.028714497499	31.286514811667107	4863.719964099205
52	0.0	4701.56925628	33.64275702371534	4749.012780815499	0.0	4827.363524132499	30.784874271872965	4696.447447976853	0.0	4866.598837977499	29.147108028007167	4753.736917759862	0.0	4676.153022417499	33.70666711877301	4957.817743139113
53	0.0	4801.975538685	30.320696140054928	4833.658057539819	0.0	4925.2519784324995	30.85252500223809	4782.577413608101	0.0	4955.196416982499	34.89807735234483	4851.160717035158	0.0	4765.382443054999	30.00111386144238	5041.570852668973
54	0.0	4887.58010481	28.624849536159406	4913.569095828264	0.0	5012.6903489325	29.228706415932177	4864.174219019244	0.0	5042.528542122499	34.284002062163104	4946.87022279203	0.0	4859.789023894999	36.46483855542017	5143.368526969522
55	0.0	4984.76181489	29.49598805863809	4995.9120624919615	0.0	5105.0094394325	30.91962819292585	4950.491514391162	0.0	5130.9482112199985	35.181836308580785	5045.086182486818	0.0	4966.185215809999	39.58685386887402	5253.881827353462
56	0.0	5083.31449054	34.00069946009696	5090.830681818065	0.0	5198.572298432499	30.891480864275827	5036.730231803932	0.0	5235.7191354649985	28.83041397401481	5125.571088164276	0.0	5065.1443251499995	35.136589007295036	5351.9714716654935
57	0.0	5192.977846485001	32.164196444231635	5180.622396891546	0.0	5307.883336307499	32.342615019184834	5127.020032065823	0.0	5339.580555237499	30.60711186534806	5211.015942121706	0.0	5158.157626505	38.03998964533755	5458.1664427587275
58	0.0	5282.229766385	28.86251950146699	5261.196930499807	0.0	5421.385649907499	29.610287038584357	5209.682083381871	0.0	5465.544691717499	29.24762524053421	5292.665562584863	0.0	5263.003643885	35.705858012561194	5557.845296377128
59	0.0	5386.154922005	29.478058435211466	5343.48984363144	0.0	5525.585752212499	30.854827913776482	5295.818477974497	0.0	5586.497543347498	34.79511498117491	5389.801925240643	0.0	5367.6481512875	33.52873347854327	5651.4463440047275
