task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
46	5.316017009400616	15	2761.9587708997456	14.683982990599384	21.697875777935803	23.147778939625628	0.1627940192615327	15	2662.5141747718003	20.162794019261533	20.916641634868483	23.747877486169255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
47	6.8994471789476925	15	2797.4394347900957	13.100552821052307	21.51876488300073	22.635126077205232	0.5682507576984648	15	2715.1418289697003	19.431749242301535	20.885706376690006	24.33305228005839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
48	7.069503388445046	16	2832.4595297797237	12.930496611554954	21.343494101950817	22.10322973835945	0.9255842076799965	16	2766.8017050739004	19.074415792320004	20.84874126272327	24.87294844529871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
49	10.028036189345471	16	2913.7854611258676	30.02803618934547	21.517184943698712	23.139203474413147	5.833990530985355	16	2805.1679807191485	14.166009469014645	20.715086626849097	23.683770578926968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
50	13.68421348256689	16	3005.0135393078194	33.68421348256689	21.755754130735344	23.430884234189243	6.340390099274829	16	2842.1627575336124	13.65960990072517	20.576743945944706	23.47949998003348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
51	3.2893235074591978	17	3050.2716214751176	16.710676492540802	21.65873340692391	22.881346567228768	1.2785200529408023	17	2892.8667657235646	18.721479947059198	20.541065792119984	21.67648620580815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
52	7.2410631997612285	17	3084.827075309098	12.758936800238772	21.49081271623174	20.912878439070244	2.887331116236801	17	2939.2135772837564	17.1126688837632	20.476379058000045	20.185428075378315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
53	8.937898424755314	17	3163.2005502094767	28.937898424755314	21.62872171083403	20.557587919755434	5.705074153661048	17	2977.9290014509243	14.294925846338952	20.361907702228542	18.544532477484402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
54	10.523753309442952	18	3245.8690487558847	30.523753309442952	21.790449558081466	20.620291388390804	9.729858708984121	18	3058.447368787756	29.72985870898412	20.532234084169552	18.39985094415345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
55	6.95648976648874	18	3281.1952223049775	13.04351023351126	21.634254212999856	20.64020573556081	3.1517927370633885	18	3104.0779301248763	16.84820726293661	20.466447890933246	18.3201719072705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
56	6.821602391276922	18	3316.8867158286025	13.178397608723078	21.485905851521316	20.48964719737318	12.117275250770703	18	3191.0622172623803	32.1172752507707	20.670848370930397	19.515620030421417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
57	10.224123970408002	19	3398.7437182484573	30.224123970408	21.63656478460557	22.20200431230875	12.68469829999065	19	3279.5832751581884	32.68469829999065	20.877983714534885	20.840914936190323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
58	14.932172682348302	19	3493.3516859298174	34.9321726823483	21.86191407100799	24.402171919388085	10.040334214264	19	3360.9425136551536	30.040334214264	21.033277790801478	21.937506778384723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
59	18.769189803113846	19	3598.3515749799176	38.769189803113846	22.143701999876424	25.276287280764922	10.510924606455994	19	3443.5762677976386	30.510924606455994	21.19123857106239	23.57199829212886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
60	3.880810294311381	17	3642.0077137661574	16.11918970568862	22.04493950325039	23.519784903077092	4.900294903542157	7	3484.4713024338785	15.099705096457843	21.091377366560675	23.71600781170213	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
61	1.807566323456001	17	3691.2788883067974	18.192433676544	21.98280231249706	23.667960621477413	5.528217335191998	7	3523.6657138177334	14.471782664808002	20.984609710080793	23.29103808347701	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
62	4.486011803744617	17	3757.5951702752723	24.486011803744617	22.022535796485116	24.840668121828	4.182427296868923	7	3589.1597877467534	24.182427296868923	21.035368719394892	23.99801392478758	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
63	1.4118024476553828	17	3807.9382053128725	18.588197552344617	21.96887426142042	23.80569803458693	1.0105613185464613	7	3640.5895175090236	18.98943868145354	21.003401062552058	24.46746520829904	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
64	37.4031523031355	17	3963.4050761338644	57.4031523031355	22.51401700052373	26.493637933956183	18.24212197262154	7	3744.1619311848735	38.24212197262154	21.268612153476205	25.318691534662783	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
65	1.4936235887537244	17	4013.5265122476562	18.506376411246276	22.453295173413466	27.039924551729683	3.669838833495387	7	3788.3894510108234	16.330161166504613	21.19378713852209	25.26688692501958	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
66	6.427866101196798	17	4050.2843748902483	13.572133898803202	22.32074052752376	27.0792981807377	6.563661138504614	7	3824.7795354273735	13.436338861495386	21.078004328417215	23.39879328609205	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
67	5.342872680952123	17	4089.9807613793364	14.657127319047877	22.20804033328147	25.522598515601683	4.648406655384612	7	3866.3567674023734	15.351593344615388	20.993792402184834	21.665482790554524	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
68	5.314344234007633	17	4129.754412412232	14.685655765992367	22.099020267088875	23.497946823966092	6.6892362583076945	7	3902.4067525361233	13.310763741692305	20.88244416072842	19.992525743297357	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
69	3.669628611229541	17	4173.982501590152	16.33037138877046	22.01661099739861	21.25406498253175	4.877864294616616	7	3943.3625367382033	15.122135705383384	20.800154039937777	18.453646853190094	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
70	7.182546378362096	17	4208.6964384820885	12.817453621637904	21.88704540055691	20.92389137412668	6.0518043436119395	7	3981.1388999742544	13.94819565638806	20.703647583831444	18.338495909183116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
71	6.445158894741658	17	4245.407466475496	13.554841105258342	21.771320340899987	20.460132116998118	2.1534056703919973	7	4029.4734262836096	17.846594329608003	20.663966288633894	18.675977075663116	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
72	11.75004491768911	17	4331.397171460904	31.75004491768911	21.908015198116278	21.186535428392563	5.141711881413663	7	4069.7146232714476	14.858288118586337	20.584436450688038	17.743563157834856	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
73	6.701257897649233	17	4367.414597988104	13.298742102350767	21.791673669795124	20.65758988339318	6.398487964161481	7	4106.552051701844	13.60151203583852	20.490072607244127	17.20477049327335	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
74	7.191662166839137	17	4402.103846286248	12.808337833160863	21.67189585864	16.198108436395717	4.488932287530341	7	4148.561193423116	15.511067712469659	20.4236858753138	14.931665067258166	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
75	5.835775247241848	17	4440.465288324968	14.164224752758152	21.573110712509976	15.763893270546905	4.344666914107078	7	4190.961053864075	15.655333085892922	20.360944391242473	14.864182259196998	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
76	7.93634650798867	17	4516.126226784104	27.93634650798867	21.655750138425283	17.20031453146545	6.080546368550278	7	4228.659574115918	13.919453631449722	20.27728866708932	14.912493736192431	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
77	5.796175205415388	17	4554.594918936104	14.203824794584612	21.56021263401707	17.154984279019125	4.902825326468925	7	4269.547755523398	15.097174673531075	20.210876949223188	14.887051869083999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
78	7.124908346230768	17	4589.464958831729	12.875091653769232	21.45027439376077	16.97392786779681	1.2049169201009242	7	4320.451105531459	18.795083079899076	20.192955507839336	15.435483802904676	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
79	6.9310666432307695	17	4624.859986672979	13.06893335676923	21.345507630798373	16.64778406459669	0.734864396077171	7	4372.62751445875	19.26513560392283	20.18135775904038	15.84978379275862	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
80	7.22328320692308	17	4659.463594654229	12.77671679307692	21.239720089591938	16.643710381740593	2.571020177443689	7	4433.75736077266	22.57102017744369	20.210859764205853	16.712066244864182	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
81	11.096356892615393	17	4743.68289457173	31.096356892615393	21.359922977433687	18.3978619604763	0.936939934227194	7	4485.386481784128	19.063060065772806	20.196862206907888	16.833712818480663	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
82	6.039712093004926	17	4781.492007653174	13.960287906995074	21.270770747669367	16.61888625940689	4.247561792342276	7	4528.049335263201	15.752438207657724	20.14331492980849	16.923127827387802	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
83	7.039503748239017	17	4816.593351668361	12.960496251760983	21.171838908432363	16.585061674347912	4.5114173146208	7	4569.9975800361035	15.4885826853792	20.08790145070814	17.111834892341868	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
84	10.034474076693904	17	4897.936718959407	30.034474076693904	21.276105204529557	18.307675298701216	5.742288474210708	7	4608.6122154184495	14.257711525789292	20.019310981003212	16.986499273673836	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
85	4.733086829223387	17	4939.2846087969265	15.266913170776613	21.206230878555687	18.41794414050306	5.677497194073105	7	4647.402327184502	14.322502805926895	19.95306902547907	16.853216245677228	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
86	1.3987704570131712	17	4989.662938809182	18.60122954298683	21.176288334468687	17.48443244400288	10.284934057575626	7	4729.424023590435	30.284934057575626	20.071826094813513	18.48976428828982	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
87	2.0850923931923724	17	5038.182480244286	17.914907606807628	21.139227189836177	17.85554072522518	4.927616279799388	7	4770.245062832645	15.072383720200612	20.015014249647457	18.487285192956772	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
88	0.5184636717528619	17	5090.944974466622	19.481536328247138	21.12060144981832	18.51618519267297	0.8802737140658472	7	4822.02765485705	19.119726285934153	20.004954834324835	18.519749513560278	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
89	15.713500267252186	17	5187.66903769043	35.713500267252186	21.28274477001203	20.780641883721266	5.1839175001361255	7	4862.154544960848	14.816082499863874	19.947300697275267	18.074844203154385	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
90	5.609778977933786	17	5226.642552958526	14.390221022066214	21.207002750803834	20.941992306620197	6.401491168680616	7	4898.9838397123385	13.598508831319384	19.877533753693335	17.17759306854196	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
91	4.539565543613051	17	5268.514562944574	15.460434456386949	21.144540051951477	19.378400062997354	1.712628219107696	7	4948.512138285589	18.287371780892304	19.860249384423756	17.100024240053905	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
92	6.150952670129229	17	5306.022399462974	13.849047329870771	21.066093893649533	19.367276005284918	5.961746254898465	7	4986.532408845239	14.038253745101535	19.79764728077513	16.928605793798287	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
93	6.982993087692803	17	5341.276793183806	13.017006912307197	20.980465308741636	19.372927071339543	5.302069119244308	7	5026.339304980619	14.697930880755692	19.743394978647263	16.84954061333594	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
94	7.195753630672733	17	5414.931959266878	27.195753630672733	21.04588939634091	19.089055026737423	4.548018277612311	7	5068.188422145419	15.45198172238769	19.69822220752874	16.968967632995778	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
95	7.158144391577604	17	5449.711984873022	12.841855608422396	20.96043071105009	18.846549270502006	1.468274741908921	7	5126.331666238089	21.46827474190892	19.71666025476187	17.68354482659398	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
