count	5000ms	500ms
916	0.79	0.7
917	0.79	0.69
918	0.79	0.69
919	0.79	0.69
920	0.79	0.69
921	0.78	0.69
922	0.78	0.69
923	0.78	0.69
924	0.78	0.69
925	0.78	0.69
926	0.78	0.69
927	0.78	0.69
928	0.78	0.69
929	0.78	0.69
930	0.78	0.69
931	0.78	0.69
932	0.78	0.69
933	0.78	0.69
934	0.78	0.69
935	0.78	0.69
936	0.78	0.68
937	0.78	0.68
938	0.78	0.68
939	0.78	0.68
940	0.78	0.68
941	0.78	0.68
942	0.78	0.68
943	0.78	0.68
944	0.78	0.68
945	0.78	0.68
946	0.77	0.68
947	0.77	0.68
948	0.77	0.68
949	0.77	0.68
950	0.77	0.68
951	0.77	0.68
952	0.77	0.68
953	0.77	0.68
954	0.77	0.68
955	0.77	0.68
956	0.77	0.68
957	0.77	0.68
958	0.77	0.68
959	0.77	0.68
960	0.77	0.68
961	0.77	0.68
962	0.77	0.68
963	0.77	0.68
964	0.77	0.68
965	0.77	0.68
966	0.77	0.68
967	0.77	0.68
968	0.77	0.68
969	0.77	0.68
970	0.77	0.67
971	0.77	0.67
972	0.77	0.67
973	0.77	0.67
974	0.77	0.67
975	0.77	0.67
976	0.77	0.67
977	0.77	0.67
978	0.77	0.67
979	0.77	0.67
980	0.77	0.67
981	0.77	0.67
982	0.77	0.67
983	0.77	0.67
984	0.77	0.67
985	0.77	0.67
986	0.77	0.67
987	0.77	0.67
988	0.77	0.67
989	0.77	0.67
990	0.77	0.67
991	0.77	0.66
992	0.77	0.66
993	0.77	0.66
994	0.77	0.66
995	0.76	0.66
996	0.76	0.66
997	0.76	0.66
998	0.76	0.66
999	0.76	0.66
1000	0.76	0.66
1001	0.76	0.66
1002	0.76	0.66
1003	0.76	0.66
1004	0.76	0.66
1005	0.76	0.66
1006	0.76	0.66
1007	0.76	0.66
1008	0.76	0.66
1009	0.76	0.66
1010	0.76	0.66
1011	0.76	0.66
1012	0.76	0.66
1013	0.76	0.66
1014	0.76	0.66
1015	0.76	0.66
1016	0.76	0.66
1017	0.76	0.66
1018	0.76	0.66
1019	0.76	0.66
1020	0.76	0.66
1021	0.76	0.65
1022	0.76	0.65
1023	0.76	0.65
1024	0.76	0.65
1025	0.76	0.65
1026	0.76	0.65
1027	0.76	0.65
1028	0.76	0.65
1029	0.76	0.65
1030	0.75	0.65
1031	0.75	0.65
1032	0.75	0.65
1033	0.75	0.65
1034	0.75	0.65
1035	0.75	0.65
1036	0.75	0.65
1037	0.75	0.65
1038	0.75	0.65
1039	0.75	0.65
1040	0.75	0.65
1041	0.75	0.65
1042	0.75	0.65
1043	0.75	0.65
1044	0.75	0.65
1045	0.75	0.64
1046	0.75	0.64
1047	0.75	0.64
1048	0.75	0.64
1049	0.75	0.64
1050	0.75	0.64
1051	0.75	0.64
1052	0.75	0.64
1053	0.75	0.64
1054	0.75	0.64
1055	0.75	0.64
1056	0.75	0.64
1057	0.75	0.64
1058	0.75	0.64
1059	0.75	0.64
1060	0.75	0.64
1061	0.75	0.64
1062	0.75	0.64
1063	0.75	0.64
1064	0.75	0.64
1065	0.75	0.64
1066	0.75	0.64
1067	0.75	0.64
1068	0.75	0.64
1069	0.75	0.64
1070	0.75	0.64
1071	0.75	0.64
1072	0.75	0.64
1073	0.75	0.64
1074	0.75	0.64
1075	0.75	0.64
1076	0.75	0.64
1077	0.74	0.63
1078	0.74	0.63
1079	0.74	0.63
1080	0.74	0.63
1081	0.74	0.63
1082	0.74	0.63
1083	0.74	0.63
1084	0.74	0.63
1085	0.74	0.63
1086	0.74	0.63
1087	0.74	0.63
1088	0.74	0.63
1089	0.74	0.63
1090	0.74	0.63
1091	0.74	0.63
1092	0.74	0.63
1093	0.74	0.63
1094	0.74	0.63
1095	0.74	0.63
1096	0.74	0.63
1097	0.74	0.63
1098	0.74	0.63
1099	0.74	0.63
1100	0.74	0.63
1101	0.74	0.62
1102	0.74	0.62
1103	0.74	0.62
1104	0.74	0.62
1105	0.74	0.62
1106	0.74	0.62
1107	0.74	0.62
1108	0.74	0.62
1109	0.74	0.62
1110	0.74	0.62
1111	0.74	0.62
1112	0.74	0.62
1113	0.73	0.62
1114	0.73	0.62
1115	0.73	0.62
1116	0.73	0.62
1117	0.73	0.62
1118	0.73	0.62
1119	0.73	0.62
1120	0.73	0.62
1121	0.73	0.62
1122	0.73	0.62
1123	0.73	0.62
1124	0.73	0.62
1125	0.73	0.62
1126	0.73	0.62
1127	0.73	0.62
1128	0.73	0.62
1129	0.73	0.62
1130	0.73	0.61
1131	0.73	0.61
1132	0.73	0.61
1133	0.73	0.61
1134	0.73	0.61
1135	0.73	0.61
1136	0.73	0.61
1137	0.73	0.61
1138	0.73	0.61
1139	0.73	0.61
1140	0.73	0.61
1141	0.73	0.61
1142	0.73	0.61
1143	0.73	0.61
1144	0.73	0.61
1145	0.73	0.61
1146	0.73	0.61
1147	0.73	0.61
1148	0.73	0.61
1149	0.73	0.6
1150	0.73	0.6
1151	0.73	0.6
1152	0.73	0.6
1153	0.73	0.6
1154	0.73	0.6
1155	0.73	0.6
1156	0.73	0.6
1157	0.73	0.6
1158	0.73	0.6
1159	0.73	0.6
1160	0.72	0.6
1161	0.72	0.6
1162	0.72	0.6
1163	0.72	0.6
1164	0.72	0.6
1165	0.72	0.6
1166	0.72	0.6
1167	0.72	0.6
1168	0.72	0.6
1169	0.72	0.6
1170	0.72	0.6
1171	0.72	0.6
1172	0.72	0.6
1173	0.72	0.6
1174	0.72	0.6
1175	0.72	0.6
1176	0.72	0.6
1177	0.72	0.6
1178	0.72	0.6
1179	0.72	0.6
1180	0.72	0.6
1181	0.72	0.6
1182	0.72	0.6
1183	0.72	0.6
1184	0.72	0.59
1185	0.72	0.59
1186	0.72	0.59
1187	0.72	0.59
1188	0.72	0.59
1189	0.72	0.59
1190	0.71	0.59
1191	0.71	0.59
1192	0.71	0.59
1193	0.71	0.59
1194	0.71	0.59
1195	0.71	0.59
1196	0.71	0.59
1197	0.71	0.59
1198	0.71	0.59
1199	0.71	0.59
1200	0.71	0.59
1201	0.71	0.59
1202	0.71	0.59
1203	0.71	0.59
1204	0.71	0.59
1205	0.71	0.59
1206	0.71	0.59
1207	0.71	0.59
1208	0.71	0.59
1209	0.71	0.59
1210	0.71	0.59
1211	0.71	0.59
1212	0.71	0.59
1213	0.71	0.59
1214	0.71	0.59
1215	0.71	0.59
1216	0.71	0.58
1217	0.71	0.58
1218	0.71	0.58
1219	0.71	0.58
1220	0.71	0.58
1221	0.71	0.58
1222	0.71	0.58
1223	0.71	0.58
1224	0.71	0.58
1225	0.71	0.58
1226	0.71	0.58
1227	0.71	0.58
1228	0.71	0.58
1229	0.71	0.58
1230	0.71	0.58
1231	0.71	0.58
1232	0.71	0.58
1233	0.71	0.58
1234	0.71	0.58
1235	0.71	0.57
1236	0.71	0.57
1237	0.71	0.57
1238	0.71	0.57
1239	0.71	0.57
1240	0.71	0.57
1241	0.71	0.57
1242	0.71	0.57
1243	0.71	0.57
1244	0.71	0.57
1245	0.71	0.57
1246	0.71	0.57
1247	0.71	0.57
1248	0.71	0.57
1249	0.7	0.57
1250	0.7	0.57
1251	0.7	0.57
1252	0.7	0.57
1253	0.7	0.57
1254	0.7	0.57
1255	0.7	0.57
1256	0.7	0.57
1257	0.7	0.57
1258	0.7	0.57
1259	0.7	0.57
1260	0.7	0.57
1261	0.7	0.57
1262	0.7	0.57
1263	0.7	0.57
1264	0.7	0.57
1265	0.7	0.57
1266	0.7	0.57
1267	0.7	0.57
1268	0.7	0.57
1269	0.7	0.57
1270	0.7	0.57
1271	0.7	0.56
1272	0.7	0.56
1273	0.7	0.56
1274	0.7	0.56
1275	0.7	0.56
1276	0.7	0.56
1277	0.7	0.56
1278	0.7	0.56
1279	0.7	0.56
1280	0.7	0.56
1281	0.7	0.56
1282	0.7	0.56
1283	0.7	0.56
1284	0.7	0.56
1285	0.7	0.56
1286	0.7	0.56
1287	0.7	0.56
1288	0.7	0.56
1289	0.7	0.55
1290	0.69	0.55
1291	0.69	0.55
1292	0.69	0.55
1293	0.69	0.55
1294	0.69	0.55
1295	0.69	0.55
1296	0.69	0.55
1297	0.69	0.55
1298	0.69	0.55
1299	0.69	0.55
1300	0.69	0.55
1301	0.69	0.55
1302	0.69	0.55
1303	0.69	0.55
1304	0.69	0.55
1305	0.69	0.55
1306	0.69	0.55
1307	0.69	0.55
1308	0.69	0.55
1309	0.69	0.55
1310	0.69	0.55
1311	0.69	0.55
1312	0.69	0.55
1313	0.69	0.55
1314	0.69	0.55
1315	0.69	0.55
1316	0.68	0.55
1317	0.68	0.55
1318	0.68	0.55
1319	0.68	0.55
1320	0.68	0.54
1321	0.68	0.54
1322	0.68	0.54
1323	0.68	0.54
1324	0.68	0.54
1325	0.68	0.54
1326	0.68	0.54
1327	0.68	0.54
1328	0.68	0.54
1329	0.68	0.54
1330	0.68	0.54
1331	0.68	0.54
1332	0.68	0.54
1333	0.68	0.54
1334	0.68	0.54
1335	0.68	0.54
1336	0.68	0.54
1337	0.68	0.54
1338	0.68	0.54
1339	0.68	0.54
1340	0.68	0.54
1341	0.68	0.54
1342	0.68	0.54
1343	0.68	0.54
1344	0.68	0.53
1345	0.68	0.53
1346	0.68	0.53
1347	0.68	0.53
1348	0.68	0.53
1349	0.68	0.53
1350	0.68	0.53
1351	0.68	0.53
1352	0.68	0.53
1353	0.68	0.53
1354	0.68	0.53
1355	0.68	0.53
1356	0.68	0.53
1357	0.68	0.53
1358	0.68	0.53
