task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
30	55.143885894863985	9	1761.7426494457939	95.20619618379999	1	1672.824529358139	51.01675916008	0	1575.7870433973126	89.12575189959298	7	2071.854793860245	46.398083125968	3	1788.6105822273946	49.373518382034	7	1470.241933894273	1	1	0	1	0	0	0	2	0	1	0	0
31	55.625073900912	9	1817.3677233467058	54.44885821569599	1	1727.273387573835	32.018917038184995	0	1607.8059604354976	92.24565547131	7	2164.100449331555	36.06299231735199	3	1824.6735745447465	63.23545251738	7	1533.477386411653	1	1	0	1	0	0	0	2	0	1	0	0
32	67.08192444096	9	1884.4496477876658	49.568362974923005	1	1776.841750548758	45.219614241779986	0	1653.0255746772775	71.080959676131	7	2235.181409007686	35.842900595775	3	1860.5164751405216	35.31782921719199	7	1568.795215628845	1	1	0	1	0	0	0	2	0	1	0	0
33	159.626123558688	9	2044.0757713463538	63.910344035399994	1	1840.752094584158	31.496452061729997	0	1684.5220267390075	79.51736216090698	7	2314.698771168593	44.593831495850004	3	1905.1103066363717	66.007401466658	7	1634.802617095503	1	1	0	1	0	0	0	2	0	1	0	0
34	39.320656700159994	9	2083.396428046514	34.32180630318	1	1875.073900887338	31.475534247503994	0	1715.9975609865114	70.22040960088799	7	2384.919180769481	51.468665484075	3	1956.5789721204467	66.36393937348599	7	1701.1665564689888	1	1	0	1	0	0	0	2	0	1	0	0
35	69.45857248835998	9	2152.855000534874	35.676833620036	1	1910.7507345073739	31.635619743000003	0	1747.6331807295114	75.51183993669	7	2460.4310207061712	59.156916008925	3	2015.7358881293717	34.606588443037	7	1735.7731449120258	1	1	0	1	0	0	0	2	0	1	0	0
36	164.26046331165898	9	2317.1154638465327	31.313900468483	1	1942.064634975857	31.66036661376	0	1779.2935473432715	70.052542223895	7	2530.4835629300665	56.02298935800001	3	2071.7588774873716	31.319363196634995	7	1767.092508108661	1	1	0	1	0	0	0	2	0	1	0	0
37	35.570200129068	9	2352.6856639756006	31.96805387616	1	1974.032688852017	32.7402780354	0	1812.0338253786715	73.132615861398	7	2603.6161787914643	43.52672790725	3	2115.2856053946216	64.764073109988	7	1831.856581218649	1	1	0	1	0	0	0	2	0	1	0	0
38	35.444657525771994	9	2388.1303215013727	31.504800738180002	1	2005.5374895901969	31.6813565895	0	1843.7151819681715	69.56410027429598	7	2673.1802790657603	35.2532201805	3	2150.538825575122	31.493982214680003	7	1863.350563433329	1	1	0	1	0	0	0	2	0	1	0	0
39	36.231525888129	9	2424.3618473895017	31.536431911199998	1	2037.0739215013969	32.730332322239995	0	1876.4455142904114	64.31115181902601	7	2737.4914308847865	35.50786407157501	3	2186.046689646697	31.724078657099998	7	1895.074642090429	1	1	0	1	0	0	0	2	0	1	0	0
