task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
47	9.36849973740059	14	2347.2721156009975	29.36849973740059	17.516956086574613	17.85469585972961	0.6686487306603013	17	2531.4903620603272	19.3313512693397	18.89171911985319	17.668889260304276	10.05858545447737	18	2863.077270569634	30.05858545447737	21.366248287833088	17.90802386526222	1.5410955901014916	7	2212.2064538106674	18.45890440989851	16.50900338664677	18.317767154794637	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0
48	5.534051862323583	0	2387.6562208186774	14.465948137676417	17.45469061822975	18.257109147300355	5.660044905289558	18	2571.5227366997274	14.339955094710442	18.79882597648293	18.385922112323637	5.130482337345434	2	2904.588007377878	14.869517662654566	21.23366194854373	18.730669477422232	0.9918692969253691	13	2270.8087555979173	20.99186929692537	16.600490446040215	19.40848392986772	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
49	11.141969884472836	14	2474.5942200794975	31.141969884472836	17.72843620355461	21.271974329606326	5.61642232985314	18	2611.6768910288874	14.38357767014686	18.71052101035621	20.741017861770267	0.5152726641483056	2	2958.9828711904643	19.484727335851694	21.198683256289886	19.752640621615377	16.548199913808958	15	2372.839147023967	36.54819991380896	16.99944463539559	21.474325486062302	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
50	9.134503367751634	14	2555.9280419811375	29.134503367751634	17.952084579323184	21.381917277389725	6.949142037640598	1	2648.1105361738073	13.050857962359402	18.59954722510137	20.84111263263582	6.105397631687762	5	2997.7719694686693	13.894602368312238	21.0554659839766	20.7839780556994	7.066792894686566	13	2408.9443501929672	12.933207105313434	16.91971448774692	20.6433032567597	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
51	11.250743192885974	14	2643.1697000612776	31.250743192885974	18.20782801419939	22.28142580978284	7.852163277631043	18	2725.8644919905273	27.852163277631043	18.77748214918848	22.96745520785341	8.064928475162985	11	3031.0907108088395	11.935071524837015	20.8800737828393	21.046765371889826	6.862855027176119	5	2445.618879908767	13.137144972823881	16.84697276630609	20.922122102157523	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0
52	1.4487070653683567	9	2694.958726170458	18.551292934631643	18.214308484396224	20.82877866203552	6.869219490388058	2	2762.5212542465274	13.130780509611942	18.67094060881911	18.48703672161582	1.7103007578244807	2	3082.1494545265796	18.28969924217552	20.831198791506022	17.40255630905821	5.048265408489559	13	2515.545287507467	25.04826540848956	17.001714136913325	18.602297053671226	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
53	8.586192799430208	14	2774.7618477355336	28.586192799430208	18.406380416156114	20.07145609678302	1.6570754855259722	18	2813.7285851827673	18.342924514474028	18.66486623670161	20.61242783769908	2.1226346680797654	2	3132.0570994115237	17.877365331920235	20.77649817188406	19.275090051602504	5.160187144811939	16	2556.973098394867	14.839812855188061	16.961678927992487	17.973855009358207	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
54	8.2039799764068	14	2853.497958503003	28.2039799764068	18.584518589978853	19.600745854515186	5.612224917261614	18	2853.8944572887453	14.387775082738386	18.587100942993185	19.725808865506636	0.6620052107250096	2	3189.738530624798	20.66200521072501	20.774416481681172	19.936880093115974	8.505583998567165	13	2589.061676398867	11.494416001432835	16.862274147509584	19.773243642298063	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
55	8.738186273322032	14	2884.937188489979	11.261813726677968	18.453756003134195	19.070455090748304	6.844025802161669	12	2890.6215519243774	13.155974197838331	18.490116536829706	17.881225969683182	17.544392861378384	13	3294.5499606961457	37.544392861378384	21.073880345604334	18.777045975878004	8.598235827773136	13	2620.891601379667	11.401764172226864	16.764765040808108	18.082929941653287	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0
56	6.337500191245731	14	2923.0783337894177	13.66249980875427	18.369698876917003	17.661443389336693	9.547921030826028	18	2973.1094981354336	29.54792103082603	18.68411310689982	19.132254206900488	4.604302955216005	2	3337.529614946168	15.395697044783995	20.97426309471275	17.851425913738204	8.620823654636535	13	2652.65846867714	11.379176345363465	16.670281028607324	17.550566040000714	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
